timeframe,filter_mode,consec_n,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
1d,ema200_price_above,6,10,2.0,73,0.5342,0.3773,2.4051,3.23,27.54
1d,ema200_price_above,6,10,3.0,73,0.5479,0.2383,2.2301,2.26,17.4
1d,ema200_price_above,6,10,4.0,73,0.5479,0.175,2.1742,2.19,12.77
1d,ema200_price_above,6,15,2.0,73,0.5068,0.2991,1.8126,5.55,21.83
1d,ema200_price_above,6,15,3.0,73,0.5479,0.2014,1.7986,3.42,14.7
1d,ema200_price_above,6,15,4.0,73,0.5479,0.1307,1.6241,3.3,9.54
1d,ema200_price_above,6,20,2.0,71,0.5211,0.4844,2.2614,5.62,34.39
1d,ema200_price_above,6,20,3.0,71,0.5634,0.3131,2.1183,3.02,22.23
1d,ema200_price_above,6,20,4.0,71,0.5634,0.2259,2.0316,2.77,16.04
1d,ema200_price_above,6,25,2.0,70,0.5,0.3994,2.0268,6.61,27.96
1d,ema200_price_above,6,25,3.0,70,0.5429,0.2309,1.7499,5.01,16.16
1d,ema200_price_above,6,25,4.0,70,0.5429,0.1539,1.6152,4.04,10.77
1d,ema200_price_above,7,5,2.0,25,0.48,-0.0619,0.755,2.66,-1.55
1d,ema200_price_above,7,5,3.0,25,0.52,0.0047,1.0331,1.0,0.12
1d,ema200_price_above,7,5,4.0,25,0.52,0.0293,1.3582,0.6,0.73
1d,ema200_price_above,7,10,2.0,25,0.48,-0.0862,0.7629,3.78,-2.15
1d,ema200_price_above,7,10,3.0,25,0.52,-0.0234,0.8934,2.38,-0.58
1d,ema200_price_above,7,10,4.0,25,0.52,0.0178,1.1378,1.51,0.44
1d,ema200_price_above,7,15,2.0,24,0.375,-0.2551,0.4694,5.27,-6.12
1d,ema200_price_above,7,15,3.0,24,0.4167,-0.1722,0.4708,3.92,-4.13
1d,ema200_price_above,7,15,4.0,24,0.4583,-0.0569,0.6924,1.92,-1.37
1d,ema200_price_above,7,20,2.0,24,0.375,-0.278,0.4484,5.97,-6.67
1d,ema200_price_above,7,20,3.0,24,0.4167,-0.133,0.543,3.19,-3.19
1d,ema200_price_above,7,20,4.0,24,0.4167,-0.0439,0.7295,1.26,-1.05
1d,ema200_price_above,7,25,2.0,24,0.4167,-0.2932,0.413,6.79,-7.04
1d,ema200_price_above,7,25,3.0,24,0.4583,-0.1844,0.4711,4.56,-4.43
1d,ema200_price_above,7,25,4.0,24,0.4583,-0.099,0.5545,2.48,-2.38
