symbol,entry_ts,r,funding,year,tf,ob_thresh,hold_bars,atr_mult
ADAUSDT,1644048000000,0.272211903913559,0.0001,2022,4h,65,10,2.0
ADAUSDT,1647475200000,0.12705004197070177,0.0001,2022,4h,65,10,2.0
ADAUSDT,1647648000000,-1.0,0.0001,2022,4h,65,10,2.0
ADAUSDT,1651680000000,1.6408310223402955,0.0001,2022,4h,65,10,2.0
ADAUSDT,1653940800000,-1.0,0.0001,2022,4h,65,10,2.0
ADAUSDT,1654012800000,0.440086830748782,0.0001,2022,4h,65,10,2.0
ADAUSDT,1657209600000,0.039527906344893164,0.0001,2022,4h,65,10,2.0
ADAUSDT,1662206400000,-1.0,0.0001,2022,4h,65,10,2.0
ADAUSDT,1670054400000,0.1399010405710846,0.0001,2022,4h,65,10,2.0
ADAUSDT,1672934400000,-1.0,0.0001,2023,4h,65,10,2.0
ADAUSDT,1678708800000,-1.0,0.0001,2023,4h,65,10,2.0
ADAUSDT,1685232000000,-1.0,0.0001,2023,4h,65,10,2.0
ADAUSDT,1687521600000,0.16166872929340365,0.0001,2023,4h,65,10,2.0
ADAUSDT,1688112000000,0.1672705921051987,0.0001,2023,4h,65,10,2.0
ADAUSDT,1688400000000,0.23369290037655902,0.0001,2023,4h,65,10,2.0
ADAUSDT,1693310400000,0.9976959798115482,0.0001,2023,4h,65,10,2.0
ADAUSDT,1695960000000,-0.2823127979349182,0.0001,2023,4h,65,10,2.0
ADAUSDT,1712592000000,1.3726064481578597,0.00015237,2024,4h,65,10,2.0
ADAUSDT,1715889600000,-1.0,0.0001,2024,4h,65,10,2.0
ADAUSDT,1719878400000,-1.0,0.0001,2024,4h,65,10,2.0
ADAUSDT,1720670400000,-1.0,0.0001,2024,4h,65,10,2.0
ADAUSDT,1724212800000,-1.0,0.0001,2024,4h,65,10,2.0
ADAUSDT,1735761600000,-1.0,0.0001,2025,4h,65,10,2.0
ADAUSDT,1749499200000,-0.37484355666913155,0.0001,2025,4h,65,10,2.0
ADAUSDT,1751515200000,1.5136381644316403,0.0001,2025,4h,65,10,2.0
ADAUSDT,1759305600000,-1.0,0.0001,2025,4h,65,10,2.0
ADAUSDT,1761523200000,0.8520202170712581,0.0001,2025,4h,65,10,2.0
ADAUSDT,1764720000000,-0.5593720925625537,0.0001,2025,4h,65,10,2.0
ADAUSDT,1765353600000,1.571912579072373,0.0001,2025,4h,65,10,2.0
ADAUSDT,1767369600000,-0.4013428540602488,0.0001,2026,4h,65,10,2.0
ADAUSDT,1772064000000,0.8750425224041863,0.0001,2026,4h,65,10,2.0
ADAUSDT,1773388800000,0.9395636253912767,0.0001,2026,4h,65,10,2.0
ADAUSDT,1775462400000,-1.0,0.0001,2026,4h,65,10,2.0
AGLDUSDT,1697371200000,0.048768004246697264,0.0001,2023,4h,65,10,2.0
AGLDUSDT,1706414400000,-1.0,0.0001,2024,4h,65,10,2.0
AGLDUSDT,1706544000000,0.11111562833664007,0.0001,2024,4h,65,10,2.0
AGLDUSDT,1713830400000,0.8661919485228827,0.0001,2024,4h,65,10,2.0
AGLDUSDT,1715328000000,1.30924986657058,0.0001,2024,4h,65,10,2.0
AGLDUSDT,1721059200000,-1.0,0.0001,2024,4h,65,10,2.0
AGLDUSDT,1721160000000,-1.0,0.0001,2024,4h,65,10,2.0
AGLDUSDT,1725868800000,-1.0,0.0001,2024,4h,65,10,2.0
AGLDUSDT,1751558400000,1.038820221133642,0.0001,2025,4h,65,10,2.0
AGLDUSDT,1759420800000,0.18850808154262272,0.0001,2025,4h,65,10,2.0
AGLDUSDT,1761537600000,2.6441960332252727,0.0001,2025,4h,65,10,2.0
AGLDUSDT,1766908800000,-1.0,0.0001,2025,4h,65,10,2.0
AGLDUSDT,1770868800000,-0.153637169672675,0.0001,2026,4h,65,10,2.0
AGLDUSDT,1771070400000,0.5474515701764519,0.0001,2026,4h,65,10,2.0
AKTUSDT,1754640000000,-1.0,0.00035428,2025,4h,65,10,2.0
AKTUSDT,1757347200000,-1.0,0.00066843,2025,4h,65,10,2.0
ALCHUSDT,1740556800000,-1.0,0.00018855,2025,4h,65,10,2.0
ALCHUSDT,1740585600000,-1.0,0.00039596,2025,4h,65,10,2.0
ALCHUSDT,1750651200000,0.5482553518922872,0.00018722,2025,4h,65,10,2.0
ALCHUSDT,1759248000000,0.7578263188540179,0.0002137,2025,4h,65,10,2.0
ALCHUSDT,1759507200000,-1.0,0.00016983,2025,4h,65,10,2.0
ALCHUSDT,1761451200000,-1.0,0.0005608,2025,4h,65,10,2.0
ALCHUSDT,1768003200000,1.1357162320221854,0.00014582,2026,4h,65,10,2.0
ALGOUSDT,1599739200000,0.7360483831492196,0.0001,2020,4h,65,10,2.0
ALGOUSDT,1601078400000,0.6045159257148484,0.0001,2020,4h,65,10,2.0
ALGOUSDT,1602288000000,0.30423718185224186,0.0001,2020,4h,65,10,2.0
ALGOUSDT,1604649600000,-1.0,0.0001,2020,4h,65,10,2.0
ALGOUSDT,1604721600000,0.7118275925174462,0.0001,2020,4h,65,10,2.0
ALGOUSDT,1622649600000,-1.0,0.0001,2021,4h,65,10,2.0
ALGOUSDT,1622750400000,0.9854876989520867,0.0001,2021,4h,65,10,2.0
ALGOUSDT,1625385600000,0.680059762444094,0.0001,2021,4h,65,10,2.0
ALGOUSDT,1640275200000,-1.0,0.0001,2021,4h,65,10,2.0
ALGOUSDT,1640419200000,-1.0,0.0001,2021,4h,65,10,2.0
ALGOUSDT,1644048000000,-0.032515981198335764,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1644206400000,1.0262032196502362,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1644998400000,2.0027882465189393,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1647532800000,-0.10353655826144102,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1647849600000,-1.0,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1653940800000,0.11759590739042003,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1656028800000,0.41418288548136645,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1657857600000,-1.0,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1662249600000,0.9135476307789973,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1668816000000,1.0623424180219094,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1672488000000,-1.0,0.0001,2022,4h,65,10,2.0
ALGOUSDT,1672747200000,-1.0,0.0001,2023,4h,65,10,2.0
ALGOUSDT,1672804800000,0.9579023405952527,0.0001,2023,4h,65,10,2.0
