timeframe,entry_hour,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
4h,16,3,SHORT,weekday,60101,-0.04123834003645759,-2478.4654745311377,0.4773464667809188,0.18840579710144928,1,4,True,False,False,False,False,0.0,False,False
4h,16,4,LONG,ema200_price,30282,0.1131540874815408,3426.532077116018,0.494914470642626,0.855072463768116,3,4,False,True,True,True,False,0.0,False,False
4h,16,4,LONG,none,84101,0.024727048321878758,2079.5694909183253,0.49673606734759396,0.7681159420289855,2,4,False,True,True,False,False,0.0,False,False
4h,16,4,LONG,weekday,60100,0.0524213900677746,3150.525543073253,0.5073211314475874,0.8405797101449275,3,4,False,True,True,True,False,0.0,False,False
4h,16,4,SHORT,ema200_price,53819,0.025027640539543497,1346.9625861976915,0.488526356862818,0.7101449275362319,2,4,True,False,False,True,False,0.0,False,False
4h,16,4,SHORT,none,84101,-0.024727048321878758,-2079.5694909183253,0.4918728671478341,0.2318840579710145,2,4,True,False,False,True,False,0.0,False,False
4h,16,4,SHORT,weekday,60100,-0.0524213900677746,-3150.525543073253,0.48139767054908483,0.15942028985507245,1,4,True,False,False,False,False,0.0,False,False
4h,20,1,LONG,ema200_price,30307,0.04187722340500745,1269.1730097355608,0.5117959547299303,0.8405797101449275,3,4,False,True,True,True,False,0.0,False,False
4h,20,1,LONG,none,84118,0.019861558320269552,1670.714562784434,0.5106873677453102,0.8405797101449275,3,4,False,True,True,True,False,0.0,False,False
4h,20,1,LONG,weekday,60111,0.03290804028547731,1978.1352096003266,0.5207699090016802,0.9420289855072463,3,4,False,True,True,True,False,0.0,False,False
4h,20,1,SHORT,ema200_price,53811,-0.007462071937872817,-401.54155304887416,0.4626563342067607,0.37681159420289856,2,4,True,False,False,True,False,0.0,False,False
4h,20,1,SHORT,none,84118,-0.019861558320269552,-1670.714562784434,0.4651323141301505,0.15942028985507245,1,4,True,False,False,False,False,0.0,False,False
4h,20,1,SHORT,weekday,60111,-0.03290804028547731,-1978.1352096003266,0.45477533230190814,0.057971014492753624,1,4,True,False,False,False,False,0.0,False,False
4h,20,2,LONG,ema200_price,30307,0.05455744592681234,1653.4725137039015,0.5002804632593131,0.8260869565217391,3,4,False,True,True,True,False,0.0,False,False
4h,20,2,LONG,none,84118,0.013337587288996866,1121.9311675758383,0.5060866877481633,0.6956521739130435,3,4,False,True,True,True,False,0.0,False,False
