symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,atr_pct_at_entry,month,year
BTC/USDT,2021-11-08 00:00:00+00:00,2021-11-16 00:00:00+00:00,67525.83,61986.81297593884,61986.81297593884,5539.017024061165,initial_stop,9,-0.9999999999999996,-1.6161279088174096,0.266142890263072,0.45634920634920634,2021-11,2021
VET/USDT,2021-10-09 00:00:00+00:00,2021-11-16 00:00:00+00:00,0.11892,0.14428,0.09910797316434798,0.019812026835652013,midline_exit,39,1.2800305698336896,-0.9262050850334462,3.464057492416645,0.4166666666666667,2021-11,2021
HBAR/USDT,2021-10-30 00:00:00+00:00,2021-11-18 00:00:00+00:00,0.4187,0.3477657003659006,0.3477657003659006,0.07093429963409942,initial_stop,20,-1.0,-1.0220725428174655,0.8359848522631126,0.4801587301587302,2021-11,2021
TRX/USDT,2021-11-02 00:00:00+00:00,2021-11-18 00:00:00+00:00,0.10748,0.10038,0.09615416822216201,0.011325831777838002,midline_exit,17,-0.6268855249901419,-0.7160621982633871,1.9292181297231805,0.42857142857142855,2021-11,2021
AVAX/USDT,2021-11-03 00:00:00+00:00,2021-11-26 00:00:00+00:00,75.55,111.16827226023544,64.92329764616984,10.62670235383015,chandelier_stop,24,3.351770951540546,-0.32183078871756876,6.723628612242771,0.6587301587301587,2021-11,2021
SC/USDT,2021-11-26 00:00:00+00:00,2021-11-28 00:00:00+00:00,0.02649,0.022838398026277993,0.022838398026277993,0.0036516019737220075,initial_stop,3,-0.9999999999999998,-1.1227948800293117,0.961221958268996,0.5436507936507936,2021-11,2021
ZEC/USDT,2021-11-21 00:00:00+00:00,2021-12-04 00:00:00+00:00,229.4,192.918288276035,192.918288276035,36.48171172396498,initial_stop,14,-1.0000000000000004,-2.398462020150247,2.0722711854098135,0.7579365079365079,2021-12,2021
CELR/USDT,2022-01-15 00:00:00+00:00,2022-01-18 00:00:00+00:00,0.09778,0.07941918047989842,0.07941918047989842,0.018360819520101584,initial_stop,4,-1.0000000000000002,-1.0892759976265673,0.21894447552293977,0.42857142857142855,2022-01,2022
JST/USDT,2022-03-30 00:00:00+00:00,2022-04-01 00:00:00+00:00,0.08387,0.0932833983691625,0.07583385041560492,0.008036149584395075,chandelier_stop,3,1.1713816760506572,-0.5151720928688568,4.122621119986766,0.7222222222222222,2022-04,2022
IOST/USDT,2022-03-31 00:00:00+00:00,2022-04-04 00:00:00+00:00,0.04211,0.03632235014097034,0.03632235014097034,0.005787649859029659,initial_stop,5,-1.0,-1.2526673479890704,0.877731052108204,0.7261904761904762,2022-04,2022
ZEC/USDT,2022-03-08 00:00:00+00:00,2022-04-06 00:00:00+00:00,138.5,161.0,116.56323998622076,21.936760013779242,midline_exit,30,1.025675623285616,-0.3692432243828215,3.560234052382515,0.5992063492063492,2022-04,2022
ZRX/USDT,2022-04-03 00:00:00+00:00,2022-04-06 00:00:00+00:00,0.9125,0.7733218445835381,0.7733218445835381,0.1391781554164619,initial_stop,4,-0.9999999999999996,-1.533286594878661,0.004311021353923457,0.4166666666666667,2022-04,2022
DUSK/USDT,2022-03-29 00:00:00+00:00,2022-04-08 00:00:00+00:00,0.4589,0.38039506545280327,0.38039506545280327,0.07850493454719672,initial_stop,11,-0.9999999999999998,-1.317114657777805,1.1820912982764054,0.5158730158730159,2022-04,2022
MTL/USDT,2022-04-12 00:00:00+00:00,2022-04-15 00:00:00+00:00,2.411,2.0713263671894544,2.0713263671894544,0.33967363281054574,initial_stop,4,-0.9999999999999997,-1.3689611294008082,1.08339289380537,0.4603174603174603,2022-04,2022
ZRX/USDT,2022-04-20 00:00:00+00:00,2022-04-21 00:00:00+00:00,1.0991,0.9681123231772767,0.9681123231772767,0.1309876768227233,initial_stop,2,-0.9999999999999998,-1.3314229569551819,0.646625713612981,0.6031746031746031,2022-04,2022
NEAR/USDT,2022-04-01 00:00:00+00:00,2022-04-25 00:00:00+00:00,14.74,14.275,12.544055810259218,2.1959441897407825,midline_exit,25,-0.2117540155038686,-0.5328004261065082,2.2987833769108152,0.5793650793650794,2022-04,2022
TRX/USDT,2022-05-04 00:00:00+00:00,2022-05-05 00:00:00+00:00,0.08629,0.07694071556964285,0.07694071556964285,0.009349284430357152,initial_stop,2,-1.0,-1.5733824454240146,0.3829170057524114,0.5912698412698413,2022-05,2022
ETC/USDT,2022-07-27 00:00:00+00:00,2022-08-19 00:00:00+00:00,32.92,32.92,28.413748163248847,4.506251836751155,midline_exit,24,0.0,-0.21747563951209284,2.8382790095506794,0.6071428571428571,2022-08,2022
HBAR/USDT,2023-01-20 00:00:00+00:00,2023-01-24 00:00:00+00:00,0.0725,0.06569220510998874,0.06569220510998874,0.0068077948900112555,initial_stop,5,-0.9999999999999993,-1.5864167729034124,0.30846992806455314,0.5595238095238095,2023-01,2023
AVAX/USDT,2023-01-27 00:00:00+00:00,2023-02-09 00:00:00+00:00,21.2,18.641711400348807,18.641711400348807,2.558288599651192,initial_stop,14,-1.0,-1.469732539367393,0.6215092387218499,0.5079365079365079,2023-02,2023
FET/USDT,2023-01-06 00:00:00+00:00,2023-02-09 00:00:00+00:00,0.1241,0.4380973624490867,0.10445376981854684,0.019646230181453155,chandelier_stop,35,15.98257576893877,-0.020360140154400408,24.64594965690184,0.6626984126984127,2023-02,2023
VET/USDT,2023-02-07 00:00:00+00:00,2023-02-09 00:00:00+00:00,0.02595,0.023308151982051863,0.023308151982051863,0.0026418480179481387,initial_stop,3,-0.9999999999999999,-1.1923471670586603,0.29146264083656137,0.48412698412698413,2023-02,2023
SC/USDT,2023-02-07 00:00:00+00:00,2023-02-09 00:00:00+00:00,0.00444,0.00562105642580978,0.003878765520547207,0.0005612344794527934,chandelier_stop,3,2.104390355634094,-0.5345359399381563,4.739552000784974,0.7817460317460317,2023-02,2023
CELR/USDT,2023-01-29 00:00:00+00:00,2023-02-09 00:00:00+00:00,0.01853,0.016158974621250162,0.016158974621250162,0.002371025378749838,initial_stop,12,-1.0000000000000004,-1.3201039634802831,0.8392993250242048,0.4444444444444444,2023-02,2023
DUSK/USDT,2023-01-24 00:00:00+00:00,2023-02-11 00:00:00+00:00,0.1292,0.18985006798106732,0.1145266949385761,0.01467330506142391,chandelier_stop,19,4.133361074903037,-0.6746946211884524,9.118600031819684,0.43253968253968256,2023-02,2023
MTL/USDT,2023-02-05 00:00:00+00:00,2023-02-13 00:00:00+00:00,1.059,0.9231143532136803,0.9231143532136803,0.1358856467863196,initial_stop,9,-1.0000000000000004,-1.015559797989593,3.760514904149873,0.5,2023-02,2023
BTC/USDT,2023-02-15 00:00:00+00:00,2023-02-24 00:00:00+00:00,24324.05,22934.235625875222,22934.235625875222,1389.8143741247766,initial_stop,10,-1.0000000000000002,-1.0669482397128167,0.6662400513616141,0.4523809523809524,2023-02,2023
ARDR/USDT,2023-02-24 00:00:00+00:00,2023-03-02 00:00:00+00:00,0.1153,0.10042623744651526,0.10042623744651526,0.014873762553484743,initial_stop,7,-1.0,-1.0622732441226344,0.24876019007935082,0.5,2023-03,2023
VET/USDT,2023-02-17 00:00:00+00:00,2023-03-03 00:00:00+00:00,0.02761,0.024432277889650054,0.024432277889650054,0.0031777221103499453,initial_stop,15,-1.0,-1.1989720522101988,1.5545726871176875,0.7579365079365079,2023-03,2023
QTUM/USDT,2023-02-19 00:00:00+00:00,2023-03-03 00:00:00+00:00,3.212,3.057,2.7802777826582807,0.43172221734171945,midline_exit,13,-0.3590271562913652,-0.8014412650116916,2.5919444380002394,0.6825396825396826,2023-03,2023
ZRX/USDT,2023-03-01 00:00:00+00:00,2023-03-03 00:00:00+00:00,0.3027,0.25939055476368944,0.25939055476368944,0.043309445236310605,initial_stop,3,-0.9999999999999996,-1.3923059893975402,0.1085213623576851,0.7579365079365079,2023-03,2023
VTHO/USDT,2023-02-16 00:00:00+00:00,2023-03-03 00:00:00+00:00,0.001683,0.0015171701375880744,0.0015171701375880744,0.00016582986241192563,initial_stop,16,-1.0000000000000002,-1.2301765015836457,1.9115977990294888,0.6825396825396826,2023-03,2023
TRX/USDT,2023-01-14 00:00:00+00:00,2023-03-08 00:00:00+00:00,0.06177,0.06532,0.0579187100552448,0.0038512899447552015,midline_exit,54,0.9217690828067873,-0.7737667230321744,2.9340818692159663,0.43253968253968256,2023-03,2023
DUSK/USDT,2023-04-16 00:00:00+00:00,2023-04-19 00:00:00+00:00,0.2062,0.17966682915785734,0.17966682915785734,0.026533170842142646,initial_stop,4,-1.0000000000000004,-1.1231224559361237,0.21859430350434625,0.5793650793650794,2023-04,2023
