timeframe,linreg_n,linreg_mult,stop_mult,filter_mode,trades,total_r,avg_r,profit_factor,win_rate_pct
4h,25,1.0,2.0,ema200_price,8872,110.095,0.0124,1.037,33.5
4h,30,1.0,2.0,ema200_price,7905,104.234,0.0132,1.036,32.9
4h,40,1.0,2.0,ema200_price,6617,190.557,0.0288,1.072,32.6
4h,55,1.0,2.0,ema200_price,5439,251.877,0.0463,1.102,31.7
4h,10,1.0,3.0,ema200_price,15867,26.019,0.0016,1.01,37.5
4h,15,1.0,3.0,ema200_price,12188,-36.922,-0.003,0.984,36.0
4h,20,1.0,3.0,ema200_price,10160,31.76,0.0031,1.015,34.9
4h,25,1.0,3.0,ema200_price,8762,75.356,0.0086,1.037,34.1
4h,30,1.0,3.0,ema200_price,7758,94.84,0.0122,1.05,33.7
4h,40,1.0,3.0,ema200_price,6445,136.347,0.0212,1.077,33.6
4h,55,1.0,3.0,ema200_price,5200,181.861,0.035,1.111,33.3
4h,10,1.5,2.0,ema200_price,13100,53.057,0.0041,1.016,37.5
4h,15,1.5,2.0,ema200_price,9996,-15.577,-0.0016,0.995,36.8
4h,20,1.5,2.0,ema200_price,8239,90.785,0.011,1.033,35.4
4h,25,1.5,2.0,ema200_price,7213,95.475,0.0132,1.036,34.5
4h,30,1.5,2.0,ema200_price,6475,71.89,0.0111,1.028,33.7
4h,40,1.5,2.0,ema200_price,5328,214.603,0.0403,1.094,34.2
4h,55,1.5,2.0,ema200_price,4464,219.619,0.0492,1.1,32.1
4h,10,1.5,3.0,ema200_price,13078,16.967,0.0013,1.007,37.7
4h,15,1.5,3.0,ema200_price,9946,-6.535,-0.0007,0.997,37.2
4h,20,1.5,3.0,ema200_price,8166,55.098,0.0067,1.03,35.9
4h,25,1.5,3.0,ema200_price,7113,74.486,0.0105,1.042,35.3
4h,30,1.5,3.0,ema200_price,6327,79.928,0.0126,1.047,34.8
4h,40,1.5,3.0,ema200_price,5166,152.545,0.0295,1.099,35.6
4h,55,1.5,3.0,ema200_price,4236,173.169,0.0409,1.118,34.3
4h,10,2.0,2.0,ema200_price,10466,17.286,0.0017,1.006,37.3
4h,15,2.0,2.0,ema200_price,7899,-6.925,-0.0009,0.997,36.9
4h,20,2.0,2.0,ema200_price,6540,38.976,0.006,1.017,35.1
4h,25,2.0,2.0,ema200_price,5703,87.703,0.0154,1.039,34.0
4h,30,2.0,2.0,ema200_price,5107,39.117,0.0077,1.018,33.8
4h,40,2.0,2.0,ema200_price,4246,143.648,0.0338,1.073,33.9
4h,55,2.0,2.0,ema200_price,3580,223.811,0.0625,1.12,32.0
4h,10,2.0,3.0,ema200_price,10447,-8.749,-0.0008,0.995,37.5
4h,15,2.0,3.0,ema200_price,7857,-11.525,-0.0015,0.993,37.4
4h,20,2.0,3.0,ema200_price,6483,16.686,0.0026,1.01,35.7
4h,25,2.0,3.0,ema200_price,5616,60.055,0.0107,1.04,35.0
4h,30,2.0,3.0,ema200_price,4983,60.713,0.0122,1.042,35.5
4h,40,2.0,3.0,ema200_price,4107,124.955,0.0304,1.094,36.0
4h,55,2.0,3.0,ema200_price,3374,204.21,0.0605,1.164,35.3
4h,10,2.5,2.0,ema200_price,8055,-39.091,-0.0049,0.983,36.9
4h,15,2.5,2.0,ema200_price,6085,-58.287,-0.0096,0.972,36.1
4h,20,2.5,2.0,ema200_price,4946,44.518,0.009,1.023,34.8
4h,25,2.5,2.0,ema200_price,4281,101.516,0.0237,1.056,33.7
4h,30,2.5,2.0,ema200_price,3831,102.39,0.0267,1.059,33.3
4h,40,2.5,2.0,ema200_price,3252,152.488,0.0469,1.095,33.6
4h,55,2.5,2.0,ema200_price,2752,128.421,0.0467,1.082,30.3
4h,10,2.5,3.0,ema200_price,8043,-45.27,-0.0056,0.972,37.1
4h,15,2.5,3.0,ema200_price,6052,-49.373,-0.0082,0.965,36.7
4h,20,2.5,3.0,ema200_price,4904,21.665,0.0044,1.017,35.6
4h,25,2.5,3.0,ema200_price,4231,50.319,0.0119,1.04,34.9
4h,30,2.5,3.0,ema200_price,3758,71.808,0.0191,1.061,35.1
4h,40,2.5,3.0,ema200_price,3154,121.566,0.0385,1.11,36.3
4h,55,2.5,3.0,ema200_price,2599,134.387,0.0517,1.125,34.3
4h,10,3.0,2.0,ema200_price,6091,-82.423,-0.0135,0.957,35.8
4h,15,3.0,2.0,ema200_price,4468,-92.142,-0.0206,0.945,34.9
4h,20,3.0,2.0,ema200_price,3607,23.128,0.0064,1.015,34.3
4h,25,3.0,2.0,ema200_price,3120,50.851,0.0163,1.036,33.1
4h,30,3.0,2.0,ema200_price,2818,139.371,0.0495,1.103,33.6
4h,40,3.0,2.0,ema200_price,2414,91.55,0.0379,1.071,32.8
4h,55,3.0,2.0,ema200_price,2065,21.254,0.0103,1.017,27.5
4h,10,3.0,3.0,ema200_price,6083,-65.279,-0.0107,0.95,36.1
4h,15,3.0,3.0,ema200_price,4448,-81.269,-0.0183,0.93,35.7
