timeframe,wr_n,oversold,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
1d,14,-90,15,3.0,none,2163,0.4364,-0.048,0.8483,129.57,-103.74
1d,14,-90,15,3.0,ema200_price_above,445,0.4921,0.0726,1.2673,11.37,32.32
1d,14,-90,20,2.0,none,2195,0.4068,0.0101,1.0209,70.0,22.23
1d,14,-90,20,2.0,ema200_price_above,419,0.4272,0.125,1.2857,20.43,52.38
1d,14,-90,20,3.0,none,1984,0.4501,0.0039,1.011,49.35,7.67
1d,14,-90,20,3.0,ema200_price_above,411,0.472,0.0793,1.2541,12.47,32.6
1d,14,-90,25,2.0,none,2048,0.3589,0.0799,1.1535,69.64,163.7
1d,14,-90,25,2.0,ema200_price_above,387,0.3488,0.1827,1.3553,28.06,70.72
1d,14,-90,25,3.0,none,1832,0.405,0.0553,1.1453,37.25,101.24
1d,14,-90,25,3.0,ema200_price_above,379,0.3826,0.1022,1.2648,23.66,38.74
1d,20,-70,10,2.0,none,4807,0.4448,-0.0178,0.9516,113.54,-85.55
1d,20,-70,10,2.0,ema200_price_above,1039,0.4495,0.0092,1.0262,19.48,9.61
1d,20,-70,10,3.0,none,4436,0.4691,-0.0118,0.9533,76.5,-52.45
1d,20,-70,10,3.0,ema200_price_above,993,0.4673,0.0006,1.0025,13.47,0.61
1d,20,-70,15,2.0,none,3948,0.4113,-0.0096,0.9778,106.86,-38.09
1d,20,-70,15,2.0,ema200_price_above,875,0.4171,0.0288,1.0699,27.35,25.22
1d,20,-70,15,3.0,none,3493,0.438,-0.0111,0.9641,82.46,-38.81
1d,20,-70,15,3.0,ema200_price_above,817,0.4357,0.0104,1.0351,23.1,8.46
1d,20,-70,20,2.0,none,3520,0.3994,0.0254,1.0523,51.32,89.55
1d,20,-70,20,2.0,ema200_price_above,814,0.3943,0.103,1.215,19.43,83.84
1d,20,-70,20,3.0,none,2992,0.4301,0.0016,1.0045,54.2,4.82
1d,20,-70,20,3.0,ema200_price_above,737,0.4383,0.0875,1.2596,13.26,64.47
1d,20,-70,25,2.0,none,3199,0.3704,0.1039,1.204,24.23,332.36
1d,20,-70,25,2.0,ema200_price_above,718,0.3496,0.0828,1.1571,24.63,59.48
1d,20,-70,25,3.0,none,2712,0.4167,0.0635,1.1689,25.29,172.26
1d,20,-70,25,3.0,ema200_price_above,658,0.3799,0.0442,1.1121,21.21,29.09
1d,20,-75,10,2.0,none,4325,0.4539,-0.0399,0.8915,191.38,-172.45
1d,20,-75,10,2.0,ema200_price_above,855,0.455,-0.0249,0.9307,27.15,-21.3
1d,20,-75,10,3.0,none,3978,0.4734,-0.0259,0.8982,117.06,-102.99
1d,20,-75,10,3.0,ema200_price_above,822,0.4696,-0.0247,0.9039,25.23,-20.33
1d,20,-75,15,2.0,none,3607,0.4123,-0.0366,0.9164,156.74,-131.86
1d,20,-75,15,2.0,ema200_price_above,749,0.4152,-0.0121,0.9716,30.65,-9.04
1d,20,-75,15,3.0,none,3199,0.4364,-0.0337,0.8936,121.74,-107.69
1d,20,-75,15,3.0,ema200_price_above,709,0.4386,-0.0141,0.9539,22.75,-10.0
1d,20,-75,20,2.0,none,3243,0.3978,0.0075,1.0155,73.31,24.43
1d,20,-75,20,2.0,ema200_price_above,689,0.3875,0.0434,1.0903,24.73,29.91
1d,20,-75,20,3.0,none,2783,0.4362,-0.006,0.9831,71.83,-16.69
1d,20,-75,20,3.0,ema200_price_above,642,0.4299,0.02,1.0565,20.18,12.84
1d,20,-75,25,2.0,none,2988,0.3705,0.1075,1.2121,30.52,321.27
1d,20,-75,25,2.0,ema200_price_above,621,0.3398,0.0391,1.0736,37.02,24.3
1d,20,-75,25,3.0,none,2551,0.4151,0.0587,1.1553,25.16,149.72
1d,20,-75,25,3.0,ema200_price_above,578,0.372,0.0038,1.0095,28.19,2.22
1d,20,-80,10,2.0,none,3776,0.4605,-0.0328,0.9114,166.78,-123.81
1d,20,-80,10,2.0,ema200_price_above,709,0.4838,0.0417,1.1182,17.45,29.57
1d,20,-80,10,3.0,none,3501,0.4804,-0.0222,0.9142,100.9,-77.89
1d,20,-80,10,3.0,ema200_price_above,684,0.5029,0.028,1.1128,12.54,19.15
1d,20,-80,15,2.0,none,3226,0.421,-0.0237,0.9455,151.3,-76.35
1d,20,-80,15,2.0,ema200_price_above,635,0.4346,0.0888,1.221,17.04,56.37
1d,20,-80,15,3.0,none,2885,0.4426,-0.0322,0.8979,119.96,-92.97
1d,20,-80,15,3.0,ema200_price_above,610,0.4574,0.0549,1.1884,12.46,33.47
1d,20,-80,20,2.0,none,2931,0.4036,0.015,1.0313,74.07,44.06
1d,20,-80,20,2.0,ema200_price_above,587,0.4037,0.1214,1.2655,17.29,71.25
1d,20,-80,20,3.0,none,2554,0.4487,-0.0034,0.9904,58.76,-8.65
1d,20,-80,20,3.0,ema200_price_above,557,0.4417,0.0746,1.2217,12.42,41.54
1d,20,-80,25,2.0,none,2743,0.3751,0.0844,1.1666,33.65,231.49
1d,20,-80,25,2.0,ema200_price_above,532,0.3477,0.1169,1.2244,30.73,62.2
1d,20,-80,25,3.0,none,2359,0.4269,0.0548,1.1454,31.24,129.18
1d,20,-80,25,3.0,ema200_price_above,500,0.392,0.0766,1.1983,19.64,38.31
1d,20,-85,10,2.0,none,3121,0.4575,-0.0538,0.8568,184.96,-167.91
1d,20,-85,10,2.0,ema200_price_above,538,0.4572,-0.0323,0.9103,25.2,-17.37
1d,20,-85,10,3.0,none,2922,0.4788,-0.034,0.871,113.62,-99.36
1d,20,-85,10,3.0,ema200_price_above,524,0.4752,-0.0322,0.8788,22.66,-16.89
1d,20,-85,15,2.0,none,2736,0.4101,-0.0581,0.8698,188.72,-158.99
1d,20,-85,15,2.0,ema200_price_above,491,0.4297,-0.0329,0.9223,26.37,-16.15
1d,20,-85,15,3.0,none,2492,0.437,-0.0542,0.8342,153.16,-134.99
1d,20,-85,15,3.0,ema200_price_above,474,0.4578,-0.035,0.8873,21.86,-16.61
1d,20,-85,20,2.0,none,2520,0.3964,-0.0028,0.9943,72.71,-7.04
1d,20,-85,20,2.0,ema200_price_above,457,0.3698,-0.0419,0.9122,33.4,-19.16
1d,20,-85,20,3.0,none,2245,0.4468,-0.0151,0.9582,56.42,-33.8
1d,20,-85,20,3.0,ema200_price_above,442,0.414,-0.0381,0.892,21.5,-16.84
1d,20,-85,25,2.0,none,2380,0.3605,0.0624,1.1192,46.24,148.52
1d,20,-85,25,2.0,ema200_price_above,423,0.3215,0.0118,1.0217,41.98,4.97
1d,20,-85,25,3.0,none,2091,0.407,0.0405,1.1028,28.79,84.67
1d,20,-85,25,3.0,ema200_price_above,407,0.3661,-0.0034,0.9915,26.72,-1.4
1d,20,-90,10,2.0,none,2410,0.4693,-0.0302,0.9169,92.76,-72.83
1d,20,-90,10,2.0,ema200_price_above,366,0.459,-0.0108,0.9695,13.03,-3.94
1d,20,-90,10,3.0,none,2296,0.4974,-0.0062,0.975,39.31,-14.27
1d,20,-90,10,3.0,ema200_price_above,362,0.4834,-0.0084,0.9678,15.15,-3.04
1d,20,-90,15,2.0,none,2147,0.4001,-0.0764,0.8308,186.3,-163.93
1d,20,-90,15,2.0,ema200_price_above,340,0.4176,-0.0641,0.8458,28.47,-21.8
1d,20,-90,15,3.0,none,1993,0.4295,-0.0619,0.8101,139.53,-123.42
1d,20,-90,15,3.0,ema200_price_above,335,0.4507,-0.0453,0.8503,19.76,-15.16
1d,20,-90,20,2.0,none,2028,0.4009,-0.0183,0.9623,80.22,-37.15
1d,20,-90,20,2.0,ema200_price_above,324,0.3735,-0.0795,0.8303,34.53,-25.76
1d,20,-90,20,3.0,none,1845,0.4461,-0.0159,0.9552,51.46,-29.27
1d,20,-90,20,3.0,ema200_price_above,318,0.4245,-0.0511,0.8506,19.89,-16.23
1d,20,-90,25,2.0,none,1919,0.3559,0.0602,1.1149,48.77,115.43
1d,20,-90,25,2.0,ema200_price_above,311,0.3087,-0.1131,0.7907,41.15,-35.17
1d,20,-90,25,3.0,none,1723,0.3952,0.0345,1.088,25.83,59.48
1d,20,-90,25,3.0,ema200_price_above,306,0.3497,-0.1011,0.759,35.96,-30.93
