timeframe,wr_n,oversold,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
2h,14,-85,25,3.0,ema200_price_above,6073,0.4464,0.02,1.0496,46.02,121.26
2h,14,-90,10,2.0,none,22329,0.4678,-0.0118,0.9709,301.81,-263.73
2h,14,-90,10,2.0,ema200_price_above,5803,0.4744,0.0256,1.0694,42.91,148.51
2h,14,-90,10,3.0,none,21009,0.5,-0.0084,0.9704,197.47,-176.08
2h,14,-90,10,3.0,ema200_price_above,5668,0.4968,0.0223,1.0891,31.52,126.53
2h,14,-90,15,2.0,none,20777,0.4346,-0.0044,0.9907,164.28,-92.19
2h,14,-90,15,2.0,ema200_price_above,5474,0.4432,0.0313,1.0702,68.94,171.42
2h,14,-90,15,3.0,none,19089,0.4837,-0.0025,0.9926,120.54,-48.44
2h,14,-90,15,3.0,ema200_price_above,5261,0.4845,0.0224,1.0701,36.13,117.76
2h,14,-90,20,2.0,none,19598,0.4017,-0.0274,0.9476,585.82,-537.2
2h,14,-90,20,2.0,ema200_price_above,5204,0.4122,0.0234,1.0471,64.8,121.92
2h,14,-90,20,3.0,none,17743,0.462,-0.0153,0.9605,300.34,-271.16
2h,14,-90,20,3.0,ema200_price_above,4960,0.4663,0.0155,1.0423,46.87,76.75
2h,14,-90,25,2.0,none,18410,0.3771,-0.0226,0.9598,451.73,-415.57
2h,14,-90,25,2.0,ema200_price_above,4919,0.3846,0.0354,1.0657,52.15,174.21
2h,14,-90,25,3.0,none,16363,0.4416,-0.0198,0.9533,369.39,-324.38
2h,14,-90,25,3.0,ema200_price_above,4657,0.4438,0.0216,1.0532,49.88,100.54
2h,20,-70,10,2.0,none,39852,0.4581,-0.032,0.9213,1287.79,-1276.04
2h,20,-70,10,2.0,ema200_price_above,11636,0.4563,-0.0087,0.9776,152.56,-101.77
2h,20,-70,10,3.0,none,36245,0.4877,-0.0219,0.9233,804.96,-792.76
2h,20,-70,10,3.0,ema200_price_above,10956,0.4786,-0.0044,0.9834,89.53,-48.64
2h,20,-70,15,2.0,none,34297,0.4272,-0.025,0.948,887.18,-855.9
2h,20,-70,15,2.0,ema200_price_above,10010,0.43,0.0171,1.0372,80.05,171.62
2h,20,-70,15,3.0,none,29850,0.4737,-0.017,0.951,566.95,-508.71
2h,20,-70,15,3.0,ema200_price_above,9141,0.4729,0.0136,1.0416,54.99,124.05
2h,20,-70,20,2.0,none,31234,0.4014,-0.0469,0.9106,1474.65,-1463.63
2h,20,-70,20,2.0,ema200_price_above,9198,0.4063,-0.0002,0.9995,187.93,-2.13
2h,20,-70,20,3.0,none,26402,0.4583,-0.0326,0.9168,904.51,-861.61
2h,20,-70,20,3.0,ema200_price_above,8170,0.4599,-0.0015,0.9961,97.23,-11.95
2h,20,-70,25,2.0,none,28919,0.3737,-0.0336,0.9404,1008.23,-971.74
2h,20,-70,25,2.0,ema200_price_above,8575,0.3706,0.0025,1.0046,172.54,21.64
2h,20,-70,25,3.0,none,24081,0.4398,-0.0206,0.9517,574.4,-495.72
2h,20,-70,25,3.0,ema200_price_above,7553,0.4335,0.0022,1.0052,98.07,16.3
2h,20,-75,10,2.0,none,35674,0.455,-0.0393,0.9046,1416.49,-1402.9
2h,20,-75,10,2.0,ema200_price_above,9861,0.4539,-0.0118,0.9701,170.69,-116.21
2h,20,-75,10,3.0,none,32502,0.4858,-0.0254,0.9122,848.73,-825.37
2h,20,-75,10,3.0,ema200_price_above,9318,0.479,-0.0071,0.9738,99.13,-66.09
2h,20,-75,15,2.0,none,31268,0.4256,-0.028,0.9419,942.53,-876.79
2h,20,-75,15,2.0,ema200_price_above,8653,0.4288,0.0142,1.0308,64.87,123.16
2h,20,-75,15,3.0,none,27245,0.4728,-0.0207,0.941,654.72,-564.5
2h,20,-75,15,3.0,ema200_price_above,7943,0.4736,0.0051,1.0154,55.54,40.6
2h,20,-75,20,2.0,none,28802,0.3973,-0.0483,0.9086,1424.48,-1391.81
2h,20,-75,20,2.0,ema200_price_above,8026,0.4012,-0.0079,0.9848,174.53,-63.05
2h,20,-75,20,3.0,none,24472,0.4557,-0.0333,0.9157,866.92,-814.92
2h,20,-75,20,3.0,ema200_price_above,7199,0.4576,-0.0014,0.9964,83.47,-9.93
2h,20,-75,25,2.0,none,26839,0.3724,-0.0366,0.9354,1042.07,-981.81
2h,20,-75,25,2.0,ema200_price_above,7544,0.3733,0.0114,1.0206,134.67,85.85
2h,20,-75,25,3.0,none,22452,0.4381,-0.0237,0.9449,606.58,-532.06
2h,20,-75,25,3.0,ema200_price_above,6707,0.4325,0.003,1.0071,90.77,19.87
2h,20,-80,10,2.0,none,31200,0.4538,-0.0403,0.9033,1267.27,-1257.8
2h,20,-80,10,2.0,ema200_price_above,8082,0.4485,-0.0123,0.9689,189.5,-99.67
2h,20,-80,10,3.0,none,28516,0.4858,-0.0275,0.9058,815.65,-785.53
2h,20,-80,10,3.0,ema200_price_above,7688,0.4732,-0.0095,0.9652,117.0,-73.4
2h,20,-80,15,2.0,none,27783,0.4259,-0.0326,0.9327,954.23,-906.1
2h,20,-80,15,2.0,ema200_price_above,7239,0.427,0.0065,1.014,102.05,46.97
2h,20,-80,15,3.0,none,24370,0.4764,-0.0215,0.939,618.86,-522.82
2h,20,-80,15,3.0,ema200_price_above,6689,0.4702,-0.0027,0.9919,100.56,-17.98
2h,20,-80,20,2.0,none,25946,0.3957,-0.0483,0.909,1279.61,-1252.21
2h,20,-80,20,2.0,ema200_price_above,6814,0.3973,-0.0135,0.9739,222.08,-92.24
2h,20,-80,20,3.0,none,22180,0.4556,-0.0348,0.9121,816.78,-770.97
2h,20,-80,20,3.0,ema200_price_above,6182,0.4541,-0.0087,0.9771,144.0,-53.96
2h,20,-80,25,2.0,none,24306,0.3724,-0.0402,0.9294,1010.61,-976.66
2h,20,-80,25,2.0,ema200_price_above,6445,0.3735,0.0089,1.016,122.96,57.26
2h,20,-80,25,3.0,none,20497,0.4375,-0.0312,0.928,671.47,-639.07
2h,20,-80,25,3.0,ema200_price_above,5803,0.4303,-0.0034,0.992,119.31,-19.59
2h,20,-85,10,2.0,none,26125,0.4535,-0.0359,0.9143,978.6,-937.75
2h,20,-85,10,2.0,ema200_price_above,6309,0.4454,-0.0166,0.9583,162.65,-104.99
2h,20,-85,10,3.0,none,24079,0.4845,-0.0273,0.9074,680.68,-658.4
2h,20,-85,10,3.0,ema200_price_above,6078,0.4722,-0.0084,0.9691,108.52,-51.32
2h,20,-85,15,2.0,none,23705,0.4311,-0.0264,0.9454,697.19,-626.41
2h,20,-85,15,2.0,ema200_price_above,5773,0.431,0.0001,1.0003,99.17,0.84
2h,20,-85,15,3.0,none,21076,0.4805,-0.02,0.9435,463.45,-420.47
2h,20,-85,15,3.0,ema200_price_above,5453,0.4779,0.003,1.0092,68.13,16.46
2h,20,-85,20,2.0,none,22375,0.3971,-0.0406,0.9234,945.8,-908.95
2h,20,-85,20,2.0,ema200_price_above,5500,0.3965,-0.0171,0.9671,187.5,-93.96
2h,20,-85,20,3.0,none,19505,0.4551,-0.0307,0.9227,635.89,-598.43
2h,20,-85,20,3.0,ema200_price_above,5117,0.4518,-0.0095,0.9751,110.98,-48.7
2h,20,-85,25,2.0,none,21150,0.3721,-0.041,0.928,901.87,-866.71
2h,20,-85,25,2.0,ema200_price_above,5238,0.3681,-0.0163,0.971,194.03,-85.56
2h,20,-85,25,3.0,none,18148,0.4381,-0.0328,0.9244,614.0,-595.76
2h,20,-85,25,3.0,ema200_price_above,4818,0.4309,-0.0148,0.9651,131.58,-71.47
2h,20,-90,10,2.0,none,19966,0.4582,-0.0308,0.9262,649.32,-614.98
2h,20,-90,10,2.0,ema200_price_above,4425,0.454,-0.0038,0.9904,93.71,-16.63
2h,20,-90,10,3.0,none,18663,0.492,-0.0211,0.9276,407.15,-394.68
2h,20,-90,10,3.0,ema200_price_above,4325,0.4802,0.0035,1.0131,50.53,15.0
2h,20,-90,15,2.0,none,18476,0.4305,-0.0243,0.9499,486.12,-448.36
2h,20,-90,15,2.0,ema200_price_above,4152,0.4362,0.0154,1.0337,64.28,63.97
2h,20,-90,15,3.0,none,16799,0.4844,-0.0118,0.9664,220.9,-197.79
2h,20,-90,15,3.0,ema200_price_above,3989,0.4848,0.0143,1.0437,49.39,57.22
2h,20,-90,20,2.0,none,17681,0.3969,-0.0409,0.923,755.9,-722.5
2h,20,-90,20,2.0,ema200_price_above,4004,0.3984,-0.0044,0.9914,99.59,-17.73
2h,20,-90,20,3.0,none,15793,0.4546,-0.0284,0.9283,476.17,-448.84
2h,20,-90,20,3.0,ema200_price_above,3806,0.4527,-0.0024,0.9937,70.59,-9.05
2h,20,-90,25,2.0,none,16923,0.3746,-0.0387,0.9317,682.69,-654.1
2h,20,-90,25,2.0,ema200_price_above,3878,0.3747,0.0044,1.008,104.98,17.15
2h,20,-90,25,3.0,none,14923,0.4435,-0.0255,0.9405,404.15,-381.2
2h,20,-90,25,3.0,ema200_price_above,3659,0.4389,0.0136,1.0327,64.57,49.7
