tf,lookback_n,hold_bars,atr_mult,n,avg_r,total_r,win_rate,pf,y2019_n,y2019_total,y2019_avg,y2020_n,y2020_total,y2020_avg,y2021_n,y2021_total,y2021_avg,y2022_n,y2022_total,y2022_avg,y2023_n,y2023_total,y2023_avg,y2024_n,y2024_total,y2024_avg,y2025_n,y2025_total,y2025_avg,y2026_n,y2026_total,y2026_avg,y2022_positive,r2025_share,flag_2025_conc
4h,20,20,2.0,3640,0.029083204102920895,105.86286293463206,0.43104395604395607,1.0569529020815007,3,2.9963558436988786,0.9987852812329595,106,-36.77359790941061,-0.3469207349944397,300,-48.745857174200125,-0.16248619058066707,538,87.940335342447,0.1634578723837305,617,-42.82047644689345,-0.0694010963482876,859,-58.286302578374354,-0.06785367005631474,949,207.05100143323506,0.21817808370203906,268,-5.4985955758703104,-0.020517147671157875,True,1.9558416964510434,True
1d,10,15,2.0,1313,0.02896462791297488,38.03055644973602,0.49276466108149275,1.0638461142097273,0,0.0,,2,-2.0,-1.0,33,-8.27227955871752,-0.2506751381429551,218,25.055123850105876,0.11493176078030218,287,-89.38176859253858,-0.31143473377191144,275,34.717814314453705,0.12624659750710437,385,75.49072894761765,0.19607981544835754,113,2.420937488814886,0.0214242255647335,True,1.9850019561873031,True
1d,5,15,3.0,1756,0.02880018840864424,50.573130845579286,0.5700455580865603,1.0963586290754792,0,0.0,,3,-2.299520654549709,-0.7665068848499029,40,-2.909275811035587,-0.07273189527588968,306,37.29444338577375,0.12187726596658087,383,-67.26944005825446,-0.17563822469518137,374,8.618055426695548,0.02304292894838382,518,69.50879239253241,0.13418685790064172,132,7.63007616441735,0.057803607306192044,True,1.374421382072855,True
2h,20,20,3.0,6045,0.02829484633622979,171.04234610250907,0.49693961952026466,1.0782932095335351,9,6.8742091732318285,0.7638010192479809,210,-15.286133094850845,-0.07279110997548022,605,-20.32514707898742,-0.03359528442807838,843,114.28924373892502,0.1355744291090451,1042,35.65095795543021,0.03421397116643974,1479,2.9978420162347463,0.0020269384829173405,1538,37.6272438341897,0.02446504800662529,319,9.214129558335816,0.028884418678168704,True,0.21998788423797078,False
4h,15,20,2.0,4610,0.028127658850218732,129.66850729950835,0.43470715835141,1.0562240147492905,3,2.630036546656296,0.8766788488854319,137,-42.1446006292292,-0.30762482211116204,412,-66.61211594062942,-0.16167989305978014,676,128.30527225395252,0.18980069860052148,769,-40.2433594373134,-0.052332066888573996,1088,-118.51808166969654,-0.10893206035817697,1209,277.11930041927417,0.22921364798947408,316,-10.867944243506026,-0.03439222861868996,True,2.1371365043879464,True
2h,5,10,3.0,18122,0.028124268633631204,509.6679961786647,0.49663392561527425,1.1159996451256975,24,-0.22149358706063893,-0.009228899460859955,764,-23.09736031889999,-0.030232147014267005,2048,-14.497048242849889,-0.007078636837329047,2421,220.6242435940897,0.09112938603638567,3245,-3.745507363852237,-0.0011542395574274998,4569,99.45101144721808,0.021766472192431184,4090,186.61125797900695,0.04562622444474498,961,44.54289267101268,0.04635056469408187,True,0.3661427819250204,False
4h,15,20,3.0,4391,0.027947966411991758,122.7195205150558,0.501024823502619,1.076763626983115,3,1.753357697770865,0.5844525659236216,128,-23.266547894478737,-0.18176990542561514,387,-52.18473389629484,-0.13484427363383678,650,87.17060851955533,0.13410862849162358,740,-30.34506405340976,-0.041006843315418595,1044,-78.08506581583634,-0.07479412434467082,1140,222.0447878907792,0.1947761297287537,299,-4.367821933029911,-0.01460810011046793,True,1.8093681181188912,True
2h,15,10,2.0,8441,0.02784437631811609,235.03438050121792,0.4793270939462149,1.076870684300254,12,2.664311154620711,0.22202592955172593,302,-19.129103240235295,-0.06334140145773276,896,-30.007198935589187,-0.03349017738347008,1180,128.4666166924647,0.10887001414615652,1436,-21.864703698094416,-0.015226116781402796,2064,-31.420120210100443,-0.015222926458381997,2116,161.22939153477472,0.07619536461945875,435,45.09518720337709,0.10366709701925766,True,0.685982157975987,True
4h,10,20,3.0,5729,0.02780342724424708,159.28583468229152,0.5000872752661896,1.078312866666689,4,3.084659686023061,0.7711649215057652,167,-35.29236231997059,-0.2113315108980275,521,-84.83455881572122,-0.16283024724706568,834,146.1827514904068,0.1752790785256676,990,-32.17419328287072,-0.03249918513421285,1347,-84.90046499035256,-0.06302929843381778,1476,242.26429708398092,0.16413570263142338,390,4.955705830795855,0.01270693802768168,True,1.520940625807666,True
2h,10,10,3.0,11672,0.027625187131384343,322.44118419751806,0.5032556545579164,1.1118130440524767,15,0.38314512024395514,0.025543008016263677,476,-26.598954609615816,-0.05588015674289037,1301,-16.05326347101956,-0.01233917253729405,1562,120.87025371310352,0.07738172452823529,2021,36.42014542180298,0.018020853746562582,2862,-28.985944313190462,-0.010127863142274795,2863,209.90260121110646,0.07331561341638368,572,26.503201125086992,0.04633426770120103,True,0.6509795010631342,True
