variant,time,event,open_positions,open_risk_amount,equity,portfolio_heat_pct,reserved_margin,cash
T5_1D_LONG_max10,2025-05-30 00:00:00+00:00,exit,2,48.647416717854696,9746.36897577309,0.49913374754002626,535.1006853850697,9211.26829038802
T5_1D_LONG_max10,2025-06-10 00:00:00+00:00,entry,3,73.01333915728742,9746.36897577309,0.7491337475400263,802.7755364432041,8943.593439329885
T5_1D_LONG_max10,2025-06-10 00:00:00+00:00,entry,4,97.37926159672014,9746.36897577309,0.9991337475400262,957.3853309367487,8788.98364483634
T5_1D_LONG_max10,2025-06-13 00:00:00+00:00,exit,3,73.13907445900183,9766.391799378705,0.7488853197928699,783.6711402807815,8982.720659097924
T5_1D_LONG_max10,2025-06-13 00:00:00+00:00,exit,2,48.77315201956911,9741.538558490483,0.5006719598421097,515.996289222647,9225.542269267837
T5_1D_LONG_max10,2025-06-13 00:00:00+00:00,exit,1,24.40722958013638,9716.685317602261,0.2511888445735858,361.3864947291025,9355.29882287316
T5_1D_LONG_max10,2025-06-13 00:00:00+00:00,entry,2,48.698942874142034,9716.685317602261,0.5011888445735859,608.3050781761654,9108.380239426097
T5_1D_LONG_max10,2025-06-22 00:00:00+00:00,exit,1,24.291713294005653,9741.90556186334,0.2493527897570726,246.91858344706282,9494.986978416277
T5_1D_LONG_max10,2025-06-24 00:00:00+00:00,entry,2,48.646477198664,9741.90556186334,0.49935278975707265,408.9517029069273,9332.953858956413
T5_1D_LONG_max10,2025-06-26 00:00:00+00:00,exit,1,24.291713294005653,9717.063702680589,0.2499902649326508,246.91858344706282,9470.145119233526
T5_1D_LONG_max10,2025-07-08 00:00:00+00:00,entry,2,48.58437255070713,9717.063702680589,0.49999026493265086,448.08235983391177,9268.981342846677
T5_1D_LONG_max10,2025-07-08 00:00:00+00:00,entry,3,72.8770318074086,9717.063702680589,0.7499902649326509,658.1197952953303,9058.943907385259
T5_1D_LONG_max10,2025-07-09 00:00:00+00:00,entry,4,97.16969106411007,9717.063702680589,0.9999902649326508,1505.1488920242696,8211.914810656319
T5_1D_LONG_max10,2025-07-09 00:00:00+00:00,entry,5,121.46235032081154,9717.063702680589,1.2499902649326509,1818.1852377501177,7898.878464930471
T5_1D_LONG_max10,2025-07-09 00:00:00+00:00,entry,6,145.75500957751302,9717.063702680589,1.4999902649326509,1991.8485643218237,7725.215138358764
T5_1D_LONG_max10,2025-07-21 00:00:00+00:00,exit,5,121.46235032081154,9779.417365837317,1.24202031447312,1144.8194675928844,8634.597898244432
T5_1D_LONG_max10,2025-07-21 00:00:00+00:00,entry,6,145.91089373540484,9779.417365837317,1.4920203144731201,1310.261160917354,8469.156204919962
T5_1D_LONG_max10,2025-07-23 00:00:00+00:00,exit,5,121.61823447870336,9777.139575941022,1.24390404303907,1109.0973845305048,8668.042191410517
T5_1D_LONG_max10,2025-07-23 00:00:00+00:00,exit,4,97.32557522200189,9765.262676484868,0.9966508679419925,899.0599490690864,8866.202727415783
T5_1D_LONG_max10,2025-07-23 00:00:00+00:00,exit,3,73.03291596530042,9845.28230167885,0.7418062146663545,586.0236033432383,9259.258698335612
T5_1D_LONG_max10,2025-07-24 00:00:00+00:00,exit,2,48.58437255070713,9820.344787395965,0.49473184091319594,420.58191001876884,9399.762877377196
T5_1D_LONG_max10,2025-07-29 00:00:00+00:00,exit,1,24.291713294005653,9827.245519141934,0.24718740614233362,246.91858344706282,9580.326935694871
T5_1D_LONG_max10,2025-07-29 00:00:00+00:00,entry,2,48.85982709186049,9827.245519141934,0.49718740614233364,615.8295190872215,9211.416000054713
T5_1D_LONG_max10,2025-08-08 00:00:00+00:00,entry,3,73.42794088971533,9827.245519141934,0.7471874061423337,783.876655152901,9043.368863989033
T5_1D_LONG_max10,2025-08-08 00:00:00+00:00,entry,4,97.99605468757017,9827.245519141934,0.9971874061423337,1048.144535159605,8779.10098398233
T5_1D_LONG_max10,2025-08-09 00:00:00+00:00,entry,5,122.564168485425,9827.245519141934,1.2471874061423336,1253.879045359962,8573.366473781973
T5_1D_LONG_max10,2025-08-12 00:00:00+00:00,entry,6,147.13228228327984,9827.245519141936,1.4971874061423334,1471.9012423209256,8355.34427682101
T5_1D_LONG_max10,2025-08-18 00:00:00+00:00,exit,5,122.564168485425,9802.186043068123,1.250375864597056,1253.879045359962,8548.306997708161
T5_1D_LONG_max10,2025-08-19 00:00:00+00:00,exit,4,98.27245519141934,9859.049091805406,0.9967741744292655,1006.9604619128991,8852.088629892507
T5_1D_LONG_max10,2025-08-21 00:00:00+00:00,entry,5,122.92007792093285,9859.049091805406,1.2467741744292655,1171.8239500937852,8687.22514171162
