variant,trade_id,symbol,side,cluster,beta_bucket,entry_time,entry_price,initial_stop,final_stop,net_r,risk_amount,max_same_side,max_per_cluster,max_beta_cluster,equity_before_entry,heat_before_entry_pct,exit_time,pnl_usdt,equity_after_exit,drawdown_pct,open_after_exit
ACT4_ATR3,1582,AVAX/USDT,LONG,L1_L2,HIGH_CRYPTO_BETA,2026-03-10 12:00:00+00:00,9.88,9.362857142857145,9.362857142857145,-1.0,25.26929430317021,5,2,3,10107.717721268084,0.7684264320990372,2026-03-19 12:00:00+00:00,-25.26929430317021,10217.989110158042,-2.5318072809574685,4
ACT4_ATR3,6429,ALICE/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-03-18 06:00:00+00:00,0.1159,0.1204428571428571,0.1204428571428571,-1.0,25.608146011153032,5,2,3,10243.258404461212,0.9967800386759904,2026-03-20 12:00:00+00:00,-25.608146011153032,10192.380964146889,-2.7760803647985033,3
ACT4_ATR3,3729,1000SATS/USDT,LONG,MEME,HIGH_CRYPTO_BETA,2026-03-12 06:00:00+00:00,1.209e-05,1.1108571428571429e-05,1.1108571428571429e-05,-1.0,25.26929430317021,5,2,3,10107.717721268084,1.018426432099037,2026-03-21 12:00:00+00:00,-25.26929430317021,10167.111669843718,-3.0171211821709876,4
ACT4_ATR3,3300,1000CAT/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-03-20 12:00:00+00:00,0.00161,0.0017271428571428,0.0017271428571428,-1.0,25.480952410367223,5,2,3,10192.380964146889,0.7538323091804774,2026-03-23 06:00:00+00:00,-25.480952410367223,10141.63071743335,-3.260180981258995,4
ACT4_ATR3,577,BNB/USDT,SHORT,EXCHANGE,OTHER_BETA,2026-03-21 18:00:00+00:00,630.7,647.7914285714287,647.7914285714287,-1.0,25.417779174609297,5,2,3,10167.111669843718,1.008409021454567,2026-03-23 06:00:00+00:00,-25.417779174609297,10116.21293825874,-3.5026381783035707,3
ACT4_ATR3,1785,LINK/USDT,LONG,BTC_BETA,HIGH_CRYPTO_BETA,2026-03-25 06:00:00+00:00,9.41,8.937142857142858,8.937142857142858,-1.0,25.290532345646852,5,2,3,10116.21293825874,0.761600406791737,2026-03-26 06:00:00+00:00,-25.290532345646852,10090.922405913094,-3.7438815828578136,3
ACT4_ATR3,6430,ALICE/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-03-26 06:00:00+00:00,0.107,0.1134857142857142,0.1134857142857142,-1.0,25.227306014782734,5,2,3,10090.922405913094,0.7635091797410898,2026-03-27 06:00:00+00:00,-25.227306014782734,10065.69509989831,-3.984521878900678,4
ACT4_ATR3,3301,1000CAT/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-03-27 06:00:00+00:00,0.00153,0.0016357142857142,0.0016357142857142,-1.0,25.164237749745777,5,2,3,10065.69509989831,1.0160493029985864,2026-03-29 00:00:00+00:00,-25.164237749745777,10040.530862148564,-4.224560574203433,4
ACT4_ATR3,6431,ALICE/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-03-29 12:00:00+00:00,0.1036,0.1130428571428571,0.1130428571428571,-1.0,25.10132715537141,5,2,3,10040.530862148564,1.0185957924797862,2026-04-01 12:00:00+00:00,-25.10132715537141,10015.429534993193,-4.463999172767921,4
ACT4_ATR3,8700,AT/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-04-01 18:00:00+00:00,0.1636,0.1574428571428571,0.1574428571428571,-1.0,25.038573837482982,5,2,3,10015.429534993193,1.0211486641401364,2026-04-02 00:00:00+00:00,-25.038573837482982,9990.39096115571,-4.702839174835997,4
ACT4_ATR3,970,XRP/USDT,SHORT,BTC_BETA,HIGH_CRYPTO_BETA,2026-03-26 12:00:00+00:00,1.3541,1.420757142857143,1.420757142857143,-1.0,25.227306014782734,5,2,3,10090.922405913094,1.0135091797410898,2026-04-16 06:00:00+00:00,-25.227306014782734,9965.163655140926,-4.943479470878861,4
ACT4_ATR3,4478,AAVE/USDT,SHORT,DEFI,HIGH_CRYPTO_BETA,2026-03-20 12:00:00+00:00,110.66,117.20285714285714,117.20285714285714,-1.0,25.480952410367223,5,2,3,10192.380964146889,1.0038323091804773,2026-04-16 18:00:00+00:00,-25.480952410367223,9939.682702730559,-5.186539269966868,4
ACT4_ATR3,1405,DOGE/USDT,LONG,MEME,HIGH_CRYPTO_BETA,2026-04-16 18:00:00+00:00,0.09921,0.0943014285714285,0.0943014285714285,-1.0,24.849206756826398,5,2,3,9939.682702730559,1.0206870385530598,2026-04-18 18:00:00+00:00,-24.849206756826398,9914.833495973733,-5.423572921791946,4
ACT4_ATR3,9888,AWE/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-02-22 00:00:00+00:00,0.05425,0.0663585714285714,0.0663585714285714,-1.0,25.911848599917708,5,2,3,10364.739439967083,0.7540935296332864,2026-04-25 06:00:00+00:00,-25.911848599917708,9888.921647373816,-5.670742988799807,3
ACT4_ATR3,6895,AMP/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-04-02 00:00:00+00:00,0.000979,0.0011181428571428,0.0011181428571428,-1.0,24.975977402889274,5,2,3,9990.39096115571,1.0237079339750739,2026-04-26 12:00:00+00:00,-24.975977402889274,9863.945669970926,-5.908985890862723,3
ACT4_ATR3,3114,0G/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-04-26 00:00:00+00:00,0.559,0.5831428571428571,0.5831428571428571,-1.0,24.72230411843454,5,2,3,9888.921647373816,0.7638972894503105,2026-04-27 00:00:00+00:00,-24.72230411843454,9839.223365852491,-6.14480903339073,3
ACT4_ATR3,9784,AVNT/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-04-26 12:00:00+00:00,0.1733,0.1605571428571428,0.1605571428571428,-1.0,24.659864174927318,5,2,3,9863.945669970926,0.7632597913114899,2026-04-27 00:00:00+00:00,-24.659864174927318,9814.563501677563,-6.380036568663577,2
ACT4_ATR3,3115,0G/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-04-27 06:00:00+00:00,0.526,0.5654285714285714,0.5654285714285714,-1.0,24.536408754193907,5,2,3,9814.563501677563,0.5152060711474473,2026-04-27 12:00:00+00:00,-24.536408754193907,9790.027092923368,-6.614086477241927,2
ACT4_ATR3,4731,ACH/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-04-27 18:00:00+00:00,0.00728,0.0068571428571428,0.0068571428571428,-1.0,24.47506773230842,5,2,3,9790.027092923368,0.5164973144335312,2026-04-28 06:00:00+00:00,-24.47506773230842,9765.55202519106,-6.84755126104882,3
ACT4_ATR3,9475,AUDIO/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-04-27 18:00:00+00:00,0.01982,0.0210342857142857,0.0210342857142857,-1.0,24.47506773230842,5,2,3,9790.027092923368,0.7664973144335312,2026-04-29 12:00:00+00:00,-24.47506773230842,9741.076957458752,-7.081016044855712,4
ACT4_ATR3,4732,ACH/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-04-28 18:00:00+00:00,0.00752,0.0069628571428571,0.0069628571428571,-1.0,24.41388006297765,5,2,3,9765.55202519106,0.7684183603343671,2026-04-29 18:00:00+00:00,-24.41388006297765,9716.663077395775,-7.313897166703086,4
ACT4_ATR3,5401,AEVO/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-04-29 18:00:00+00:00,0.0289,0.0271571428571428,0.0271571428571428,-1.0,24.291657693489437,5,2,3,9716.663077395775,1.0222830480246659,2026-04-30 00:00:00+00:00,-24.291657693489437,9692.371419702285,-7.545612423786328,4
ACT4_ATR3,7218,ANKR/USDT,SHORT,ALT_OTHER,OTHER_BETA,2026-04-29 12:00:00+00:00,0.00489,0.00504,0.00504,-1.0,24.35269239364688,5,2,3,9741.076957458752,1.020349059732192,2026-05-05 06:00:00+00:00,-24.35269239364688,9668.01872730864,-7.77790988367418,4
ACT4_ATR3,6433,ALICE/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-05-05 18:00:00+00:00,0.1542,0.1465857142857143,0.1465857142857143,-1.0,24.1700468182716,5,2,3,9668.01872730864,1.026167185105521,2026-05-06 18:00:00+00:00,-24.1700468182716,9643.848680490368,-8.008465108964996,4
ACT4_ATR3,1406,DOGE/USDT,LONG,MEME,HIGH_CRYPTO_BETA,2026-04-29 00:00:00+00:00,0.10231,0.0989128571428571,0.1095707142857142,2.137300252312865,24.41388006297765,5,2,3,9765.55202519106,1.018418360334367,2026-05-07 12:00:00+00:00,52.17979201853816,9696.028472508906,-7.510728228481692,4
ACT4_ATR3,5110,ACX/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-05-07 06:00:00+00:00,0.0463,0.0444857142857142,0.0444857142857142,-1.0,24.10962170122592,5,2,3,9643.848680490368,1.028739032687239,2026-05-10 00:00:00+00:00,-24.10962170122592,9671.91885080768,-7.740707065709275,4
ACT4_ATR3,6005,ALCX/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-05-10 18:00:00+00:00,5.69,5.528571428571429,5.528571428571429,-1.0,24.179797127019203,5,2,3,9671.91885080768,1.0239563449141427,2026-05-11 00:00:00+00:00,-24.179797127019203,9647.739053680662,-7.971355298044999,4
ACT4_ATR3,9123,ATOM/USDT,SHORT,L1_L2,HIGH_CRYPTO_BETA,2026-02-25 18:00:00+00:00,1.942,2.0855714285714284,2.0855714285714284,-1.0,25.65231787941198,5,2,3,10260.927151764792,0.5069527928947803,2026-05-11 06:00:00+00:00,-25.65231787941198,9622.08673580125,-8.216049732126466,3
ACT4_ATR3,6006,ALCX/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-05-11 06:00:00+00:00,6.04,5.791428571428572,5.791428571428572,-1.0,24.055216839503125,5,2,3,9622.08673580125,0.762661061818723,2026-05-11 12:00:00+00:00,-24.055216839503125,9598.031518961747,-8.445509607796142,3
ACT4_ATR3,7673,ARB/USDT,LONG,L1_L2,HIGH_CRYPTO_BETA,2026-04-16 06:00:00+00:00,0.119,0.1127714285714285,0.1357428571428571,2.688073394495412,24.912909137852317,5,2,3,9965.163655140926,1.0237774292844104,2026-05-12 12:00:00+00:00,66.96772823294245,9664.99924719469,-7.806712348277042,4
ACT4_ATR3,7219,ANKR/USDT,LONG,ALT_OTHER,OTHER_BETA,2026-05-11 12:00:00+00:00,0.00535,0.0051499999999999,0.0051499999999999,-1.0,23.995078797404368,5,2,3,9598.031518961747,0.7645724930513512,2026-05-12 12:00:00+00:00,-23.995078797404368,9641.004168397285,-8.035598574257557,3
