symbol,side,timeframe,filter_mode,keltner_n,keltner_mult,stop_mult,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,net_r,exit_reason
ARK/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:17.808000+00:00,1970-01-01 00:29:17.894400+00:00,0.4944,0.45530000000000004,0.45530000000000004,0.03909999999999998,-0.9999999999999997,stop
ARKM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:47.049600+00:00,1970-01-01 00:28:47.913600+00:00,1.439,1.305,1.2561,0.18289999999999995,-0.7326407873154738,midline_exit
ARKM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:48.691200+00:00,1970-01-01 00:28:49.814400+00:00,1.82,1.4815,1.4815,0.3385,-1.0,stop
ARKM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:50.851200+00:00,1970-01-01 00:28:52.579200+00:00,2.124,2.011,1.7957,0.3282999999999999,-0.34419738044471526,midline_exit
ARKM/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:17.635200+00:00,1970-01-01 00:29:18.499200+00:00,0.658,0.5609000000000001,0.5609000000000001,0.0971,-0.9999999999999996,stop
ARPA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:49.382400+00:00,1970-01-01 00:28:49.555200+00:00,0.06023,0.052093,0.052093,0.008137000000000002,-0.9999999999999996,stop
ARPA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:53.184000+00:00,1970-01-01 00:28:53.702400+00:00,0.07231,0.061668,0.061668,0.010641999999999999,-1.0,stop
ARPA/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:28.780800+00:00,1970-01-01 00:29:28.867200+00:00,0.0198,0.017405,0.017405,0.002395,-1.0000000000000004,stop
ASR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:32.102400+00:00,1970-01-01 00:28:34.089600+00:00,3.924,4.16,3.2428,0.6811999999999999,0.34644744568408725,midline_exit
ASR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:28:48.259200+00:00,1970-01-01 00:28:49.555200+00:00,2.432,2.0928,2.0928,0.3392,-0.9999999999999999,stop
ASR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:06.489600+00:00,1970-01-01 00:29:09.859200+00:00,1.843,1.972,1.5176,0.32539999999999997,0.3964351567301783,midline_exit
ASR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:10.636800+00:00,1970-01-01 00:29:11.673600+00:00,2.299,2.134,2.0745,0.22449999999999998,-0.7349665924276172,midline_exit
ASR/USDT,LONG,1d,ema200_price,20,2.5,2.0,1970-01-01 00:29:13.401600+00:00,1970-01-01 00:29:15.129600+00:00,3.103,5.514,2.7282,0.3747999999999999,6.432764140875135,midline_exit
