entry_day,day_name,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
2,Wed,4,SHORT,ema200_price,4736,-0.04181630488240932,-198.04201992309052,0.5200591216216216,0.30158730158730157,0,2,,,False,False,False,0.0,False,False
2,Wed,4,SHORT,none,6318,-0.04572380613791987,-288.8830071793777,0.5191516302627414,0.2857142857142857,0,2,,,False,False,False,0.0,False,False
2,Wed,5,LONG,ema200_price,1582,0.12249130306130807,193.78124144298937,0.48166877370417194,0.5192307692307693,2,2,,,True,True,False,0.0,False,False
2,Wed,5,LONG,none,6318,-0.015205761043841628,-96.0699982749914,0.45188350743906297,0.3333333333333333,2,2,,,True,True,False,0.0,False,False
2,Wed,5,SHORT,ema200_price,4736,0.06120169757558723,289.8512397179811,0.5538429054054054,0.7619047619047619,1,2,,,False,True,False,0.0,False,False
2,Wed,5,SHORT,none,6318,0.015205761043841628,96.0699982749914,0.544792655903767,0.6666666666666666,0,2,,,False,False,False,0.0,False,False
3,Thu,1,LONG,ema200_price,1591,-0.01735118659570287,-27.605737873763264,0.4538026398491515,0.28846153846153844,0,2,,,False,False,False,0.0,False,False
3,Thu,1,LONG,none,6318,-0.06148549843040795,-388.46537908331743,0.4202279202279202,0.06349206349206349,0,2,,,False,False,False,0.0,False,False
3,Thu,1,SHORT,ema200_price,4727,0.0763400975691885,360.859641209554,0.5853606938861857,0.9841269841269841,2,2,,,True,True,False,0.0,False,False
3,Thu,1,SHORT,none,6318,0.06148549843040795,388.46537908331743,0.5751820196264641,0.9365079365079365,2,2,,,True,True,False,0.0,False,False
3,Thu,2,LONG,ema200_price,1591,-0.014784955821950748,-23.52286471272364,0.4688874921433061,0.34615384615384615,0,2,,,False,False,False,0.0,False,False
3,Thu,2,LONG,none,6318,-0.0437300361073183,-276.286368126037,0.456315289648623,0.2222222222222222,1,2,,,True,False,False,0.0,False,False
3,Thu,2,SHORT,ema200_price,4727,0.05347228758479233,252.76350341331337,0.54093505394542,0.7777777777777778,1,2,,,False,True,False,0.0,False,False
