pool,entry_date,exit_date,symbol,system,entry_price,exit_price,bars_held,net_r,pnl_usdt,exit_reason,regime,risk_pct
B,2023-10-09,2023-10-30,BCH_USDT,ConsecDownDays,218.4,245.8,20,1.0585,8.5469,time_exit,MIXED,0.25
B,2023-11-13,2023-12-04,BCH_USDT,ConsecDownDays,234.0,252.3,20,0.7121,5.7648,time_exit,BULL,0.25
B,2023-11-13,2023-12-04,ZEN_USDT,ConsecDownDays,11.3,11.46,20,0.0715,0.5787,time_exit,BULL,0.25
B,2023-11-29,2023-12-20,GRT_USDT,ConsecDownDays,0.1433,0.1607,20,0.6711,5.433,time_exit,BULL,0.25
B,2023-11-30,2023-12-21,FIL_USDT,ConsecDownDays,4.384,5.499,20,1.931,15.6331,time_exit,BULL,0.25
B,2023-12-17,2024-01-07,APT_USDT,ConsecDownDays,8.0393,8.4746,20,0.2936,2.3817,time_exit,BULL,0.25
B,2024-01-21,2024-01-25,ORDI_USDT,ConsecDownDays,66.447,50.67328571,3,-1.0,-8.1704,stop,BULL,0.25
B,2024-01-07,2024-01-28,HBAR_USDT,ConsecDownDays,0.0752,0.0733,20,-0.1256,-1.0261,time_exit,BULL,0.25
B,2024-01-16,2024-02-06,NEAR_USDT,ConsecDownDays,3.24,2.736,20,-0.562,-4.5915,time_exit,BULL,0.25
B,2024-01-18,2024-02-08,APT_USDT,ConsecDownDays,8.7189,8.7575,20,0.0195,0.1593,time_exit,BULL,0.25
B,2024-01-20,2024-02-10,WLD_USDT,ConsecDownDays,2.498,2.488,20,-0.0172,-0.1406,time_exit,BULL,0.25
B,2024-01-21,2024-02-11,ARB_USDT,ConsecDownDays,1.8162,1.9417,20,0.2953,2.4126,time_exit,BULL,0.25
B,2024-01-21,2024-02-11,FET_USDT,ConsecDownDays,0.5933,0.6313,20,0.3193,2.6084,time_exit,BULL,0.25
B,2024-01-22,2024-02-12,SEI_USDT,ConsecDownDays,0.5974,0.7563,20,0.8026,6.5574,time_exit,BULL,0.25
B,2024-01-22,2024-02-12,SOL_USDT,ConsecDownDays,83.84,111.64,20,1.6786,13.7149,time_exit,BULL,0.25
B,2024-01-24,2024-02-14,ETH_USDT,ConsecDownDays,2235.02,2774.81,20,2.4208,19.7793,time_exit,BULL,0.25
B,2024-01-24,2024-02-14,LINK_USDT,ConsecDownDays,14.243,20.24,20,2.6176,21.3872,time_exit,BULL,0.25
B,2024-01-25,2024-02-15,ADA_USDT,ConsecDownDays,0.4666,0.6087,20,2.567,20.9208,time_exit,BULL,0.25
B,2024-01-25,2024-02-15,ORDI_USDT,ConsecDownDays,51.209,68.881,20,1.2925,10.5339,time_exit,BULL,0.25
B,2024-02-19,2024-03-05,PENDLE_USDT,ConsecDownDays,2.8519,2.35401429,14,-1.0,-8.3808,stop,BULL,0.25
B,2024-02-23,2024-03-15,AVAX_USDT,ConsecDownDays,35.92,58.36,20,4.6667,39.1103,time_exit,BULL,0.25
B,2024-02-23,2024-03-15,INJ_USDT,ConsecDownDays,32.93,44.48,20,1.9068,15.9808,time_exit,BULL,0.25
B,2024-02-23,2024-03-15,LINK_USDT,ConsecDownDays,17.935,19.63,20,0.8016,6.7179,time_exit,BULL,0.25
B,2024-02-23,2024-03-15,SOL_USDT,ConsecDownDays,99.9,183.95,20,6.651,55.7408,time_exit,BULL,0.25
B,2024-03-11,2024-03-15,TRX_USDT,ConsecDownDays,0.13372,0.12707429,3,-1.0,-8.3598,stop,BULL,0.25
B,2024-03-16,2024-04-06,FIL_USDT,ConsecDownDays,8.836,8.578,20,-0.0885,-0.7636,time_exit,BULL,0.25
B,2024-03-16,2024-04-06,ICP_USDT,ConsecDownDays,12.234,17.032,20,1.4302,12.3463,time_exit,BULL,0.25
B,2024-03-16,2024-04-06,LTC_USDT,ConsecDownDays,84.12,101.6,20,0.9064,7.8245,time_exit,BULL,0.25
B,2024-03-16,2024-04-06,PENDLE_USDT,ConsecDownDays,2.5185,6.456,20,5.4127,46.7267,time_exit,BULL,0.25
B,2024-03-18,2024-04-08,ARB_USDT,ConsecDownDays,1.6232,1.5694,20,-0.1285,-1.1091,time_exit,BULL,0.25
B,2024-04-03,2024-04-12,TIA_USDT,ConsecDownDays,11.95,9.79285714,8,-1.0,-8.6328,stop,BULL,0.25
B,2024-04-11,2024-04-13,BCH_USDT,ConsecDownDays,614.2,484.67142857,1,-1.0,-8.7954,stop,MIXED,0.25
