symbol,n,atr_ch_mult,stop_mult,filter_mode,entry_time,exit_time,entry_price,exit_price,initial_stop,exit_reason,net_r
1INCH/USDT,150,5.0,2.0,ema200_price,2024-03-26 00:00:00+00:00,2024-04-02 00:00:00+00:00,0.6085,0.5443185622578088,0.5443185622578088,initial_stop,-1.0
1INCH/USDT,150,5.0,2.0,ema200_price,2024-11-27 00:00:00+00:00,2024-12-19 00:00:00+00:00,0.4294,0.3786643418047137,0.3786643418047137,initial_stop,-1.0
1INCH/USDT,150,5.0,2.0,ema200_price,2025-07-12 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.3224,0.28331631982990796,0.28331631982990796,initial_stop,-1.0
1INCH/USDT,150,5.0,3.0,ema200_price,2024-03-26 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.6085,0.5122278433867132,0.5122278433867132,initial_stop,-1.0
1INCH/USDT,150,5.0,3.0,ema200_price,2024-11-27 00:00:00+00:00,2024-12-20 00:00:00+00:00,0.4294,0.3532965127070706,0.3532965127070706,initial_stop,-1.0
1INCH/USDT,150,5.0,3.0,ema200_price,2025-07-12 00:00:00+00:00,2025-07-24 00:00:00+00:00,0.3224,0.2637744797448619,0.2637744797448619,initial_stop,-1.0
1INCH/USDT,150,7.0,2.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4886,0.43724242725809065,0.43724242725809065,initial_stop,-1.0
1INCH/USDT,150,7.0,2.0,ema200_price,2024-12-12 00:00:00+00:00,2024-12-18 00:00:00+00:00,0.5152,0.4561143201897874,0.4561143201897874,initial_stop,-1.0
1INCH/USDT,150,7.0,2.0,ema200_price,2025-07-14 00:00:00+00:00,2025-07-18 00:00:00+00:00,0.3529,0.31239184073527937,0.31239184073527937,initial_stop,-1.0
1INCH/USDT,150,7.0,3.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4886,0.411563640887136,0.411563640887136,initial_stop,-1.0
1INCH/USDT,150,7.0,3.0,ema200_price,2024-12-12 00:00:00+00:00,2024-12-18 00:00:00+00:00,0.5152,0.42657148028468117,0.42657148028468117,initial_stop,-1.0
1INCH/USDT,150,7.0,3.0,ema200_price,2025-07-14 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.3529,0.29213776110291906,0.29213776110291906,initial_stop,-1.0
1INCH/USDT,150,9.0,2.0,ema200_price,2024-12-06 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.5469,0.4939503165260052,0.4939503165260052,initial_stop,-1.0
1INCH/USDT,150,9.0,3.0,ema200_price,2024-12-06 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.5469,0.46747547478900775,0.46747547478900775,initial_stop,-1.0
1INCH/USDT,200,3.0,2.0,ema200_price,2024-03-19 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.5017,0.44079700000000005,0.44079700000000005,initial_stop,-1.0
1INCH/USDT,200,3.0,2.0,ema200_price,2024-11-27 00:00:00+00:00,2024-12-19 00:00:00+00:00,0.4294,0.37709765367887216,0.37709765367887216,initial_stop,-1.0
1INCH/USDT,200,3.0,2.0,ema200_price,2025-01-03 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.4231,0.3634271614373671,0.3634271614373671,initial_stop,-1.0
1INCH/USDT,200,3.0,2.0,ema200_price,2025-07-12 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.3224,0.2802889449099174,0.2802889449099174,initial_stop,-1.0
1INCH/USDT,200,3.0,3.0,ema200_price,2024-03-19 00:00:00+00:00,2024-04-13 00:00:00+00:00,0.5017,0.41034550000000003,0.41034550000000003,initial_stop,-1.0
1INCH/USDT,200,3.0,3.0,ema200_price,2024-11-27 00:00:00+00:00,2024-12-20 00:00:00+00:00,0.4294,0.35094648051830823,0.35094648051830823,initial_stop,-1.0
1INCH/USDT,200,3.0,3.0,ema200_price,2025-01-03 00:00:00+00:00,2025-01-19 00:00:00+00:00,0.4231,0.33359074215605067,0.33359074215605067,initial_stop,-1.0
1INCH/USDT,200,3.0,3.0,ema200_price,2025-07-12 00:00:00+00:00,2025-07-30 00:00:00+00:00,0.3224,0.25923341736487604,0.25923341736487604,initial_stop,-1.0
1INCH/USDT,200,5.0,2.0,ema200_price,2024-03-20 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.551,0.4896605150000001,0.4896605150000001,initial_stop,-1.0
1INCH/USDT,200,5.0,2.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4886,0.43586771744738095,0.43586771744738095,initial_stop,-1.0
1INCH/USDT,200,5.0,2.0,ema200_price,2024-12-09 00:00:00+00:00,2024-12-10 00:00:00+00:00,0.4751,0.4195906071048865,0.4195906071048865,initial_stop,-1.0
1INCH/USDT,200,5.0,2.0,ema200_price,2024-12-11 00:00:00+00:00,2024-12-18 00:00:00+00:00,0.493,0.4350444182990152,0.4350444182990152,initial_stop,-1.0
1INCH/USDT,200,5.0,2.0,ema200_price,2025-07-14 00:00:00+00:00,2025-07-18 00:00:00+00:00,0.3529,0.30975008268444093,0.30975008268444093,initial_stop,-1.0
1INCH/USDT,200,5.0,3.0,ema200_price,2024-03-20 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.551,0.4589907725000001,0.4589907725000001,initial_stop,-1.0
1INCH/USDT,200,5.0,3.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4886,0.40950157617107147,0.40950157617107147,initial_stop,-1.0
1INCH/USDT,200,5.0,3.0,ema200_price,2024-12-09 00:00:00+00:00,2024-12-19 00:00:00+00:00,0.4751,0.3918359106573297,0.3918359106573297,initial_stop,-1.0
1INCH/USDT,200,5.0,3.0,ema200_price,2025-07-14 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.3529,0.2881751240266614,0.2881751240266614,initial_stop,-1.0
1INCH/USDT,200,7.0,2.0,ema200_price,2024-03-26 00:00:00+00:00,2024-04-02 00:00:00+00:00,0.6085,0.5468002270864837,0.5468002270864837,initial_stop,-1.0
1INCH/USDT,200,7.0,2.0,ema200_price,2024-12-04 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.522,0.46848994696584334,0.46848994696584334,initial_stop,-1.0
1INCH/USDT,200,7.0,3.0,ema200_price,2024-03-26 00:00:00+00:00,2024-04-12 00:00:00+00:00,0.6085,0.5159503406297256,0.5159503406297256,initial_stop,-1.0
1INCH/USDT,200,7.0,3.0,ema200_price,2024-12-04 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.522,0.44173492044876506,0.44173492044876506,initial_stop,-1.0
1INCH/USDT,200,9.0,2.0,ema200_price,2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.6263,0.571683524728529,0.571683524728529,initial_stop,-1.0
1INCH/USDT,200,9.0,3.0,ema200_price,2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.6263,0.5443752870927936,0.5443752870927936,initial_stop,-1.0
1INCH/USDT,350,3.0,2.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.4886,0.43236201383416395,0.43236201383416395,initial_stop,-1.0
1INCH/USDT,350,3.0,2.0,ema200_price,2024-12-11 00:00:00+00:00,2024-12-18 00:00:00+00:00,0.493,0.4338489230641081,0.4338489230641081,initial_stop,-1.0
1INCH/USDT,350,3.0,2.0,ema200_price,2025-07-14 00:00:00+00:00,2025-07-22 00:00:00+00:00,0.3529,0.304178975625998,0.304178975625998,initial_stop,-1.0
1INCH/USDT,350,3.0,3.0,ema200_price,2024-12-02 00:00:00+00:00,2024-12-10 00:00:00+00:00,0.4886,0.40424302075124596,0.40424302075124596,initial_stop,-1.0
1INCH/USDT,350,3.0,3.0,ema200_price,2024-12-11 00:00:00+00:00,2024-12-19 00:00:00+00:00,0.493,0.4042733845961622,0.4042733845961622,initial_stop,-1.0
1INCH/USDT,350,3.0,3.0,ema200_price,2025-07-14 00:00:00+00:00,2025-07-23 00:00:00+00:00,0.3529,0.279818463438997,0.279818463438997,initial_stop,-1.0
1INCH/USDT,350,5.0,2.0,ema200_price,2024-12-06 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.5469,0.49003040658542113,0.49003040658542113,initial_stop,-1.0
1INCH/USDT,350,5.0,3.0,ema200_price,2024-12-06 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.5469,0.46159560987813164,0.46159560987813164,initial_stop,-1.0
1INCH/USDT,350,7.0,2.0,ema200_price,2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.6263,0.5690389441021295,0.5690389441021295,initial_stop,-1.0
1INCH/USDT,350,7.0,3.0,ema200_price,2024-12-08 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.6263,0.5404084161531943,0.5404084161531943,initial_stop,-1.0
AAVE/USDT,20,3.0,2.0,ema200_price,2024-05-26 00:00:00+00:00,2024-06-07 00:00:00+00:00,109.59,96.32504527814923,96.32504527814923,initial_stop,-1.0
AAVE/USDT,20,3.0,2.0,ema200_price,2024-08-21 00:00:00+00:00,2024-08-27 00:00:00+00:00,140.16,122.70582535579851,122.70582535579851,initial_stop,-1.0
AAVE/USDT,20,3.0,2.0,ema200_price,2024-09-23 00:00:00+00:00,2024-10-01 00:00:00+00:00,171.95,151.68564162441314,151.68564162441314,initial_stop,-1.0
AAVE/USDT,20,3.0,2.0,ema200_price,2024-11-07 00:00:00+00:00,2024-11-14 00:00:00+00:00,183.4,162.18968590114423,162.18968590114423,initial_stop,-1.0
