stoch_n,oversold,smooth_d,hold_bars,atr_mult,filter_mode,num_trades,win_rate,avg_r,pf,max_dd_r,total_r
7,15,3,25,3.0,ema200_price_above,329,0.3799,0.096,1.253,10.04,31.6
7,20,1,10,2.0,none,4265,0.4558,0.0094,1.0256,45.33,40.29
7,20,1,10,2.0,ema200_price_above,1115,0.4852,0.0625,1.1872,12.05,69.64
7,20,1,10,3.0,none,4013,0.4705,0.0054,1.021,30.07,21.81
7,20,1,10,3.0,ema200_price_above,1089,0.4904,0.0332,1.1422,8.54,36.13
7,20,1,15,2.0,none,3539,0.4131,-0.0064,0.9855,72.45,-22.69
7,20,1,15,2.0,ema200_price_above,958,0.4562,0.1567,1.3895,12.09,150.08
7,20,1,15,3.0,none,3229,0.4326,-0.0102,0.968,58.79,-32.98
7,20,1,15,3.0,ema200_price_above,923,0.4724,0.0984,1.3455,8.9,90.86
7,20,1,20,2.0,none,3088,0.3967,0.0494,1.1007,67.25,152.61
7,20,1,20,2.0,ema200_price_above,845,0.426,0.2456,1.5612,13.44,207.56
7,20,1,20,3.0,none,2741,0.4312,0.0253,1.071,44.32,69.46
7,20,1,20,3.0,ema200_price_above,811,0.4612,0.1677,1.5365,8.49,135.97
7,20,1,25,2.0,none,2781,0.3808,0.1218,1.2389,24.5,338.77
7,20,1,25,2.0,ema200_price_above,762,0.3898,0.3075,1.6208,17.68,234.28
7,20,1,25,3.0,none,2415,0.4248,0.0809,1.213,28.72,195.3
7,20,1,25,3.0,ema200_price_above,721,0.4202,0.2036,1.5535,15.26,146.76
7,20,3,10,2.0,none,3113,0.47,0.0142,1.0399,44.19,44.16
7,20,3,10,2.0,ema200_price_above,712,0.4986,0.0689,1.2156,9.87,49.05
7,20,3,10,3.0,none,2908,0.49,0.0118,1.0485,30.21,34.46
7,20,3,10,3.0,ema200_price_above,688,0.5073,0.031,1.1345,11.36,21.3
7,20,3,15,2.0,none,2735,0.4241,-0.0191,0.9552,84.42,-52.28
7,20,3,15,2.0,ema200_price_above,643,0.4495,0.071,1.183,21.99,45.67
7,20,3,15,3.0,none,2485,0.4519,-0.0121,0.9595,66.05,-30.13
7,20,3,15,3.0,ema200_price_above,623,0.4767,0.0422,1.1496,19.75,26.29
7,20,3,20,2.0,none,2477,0.4162,0.0479,1.102,28.76,118.74
7,20,3,20,2.0,ema200_price_above,584,0.4178,0.1056,1.2405,18.42,61.69
7,20,3,20,3.0,none,2193,0.456,0.0447,1.1335,21.15,98.03
7,20,3,20,3.0,ema200_price_above,557,0.4596,0.0931,1.3005,11.78,51.87
7,20,3,25,2.0,none,2279,0.3879,0.1198,1.2435,25.21,273.02
7,20,3,25,2.0,ema200_price_above,540,0.3556,0.1015,1.2006,23.96,54.81
7,20,3,25,3.0,none,1994,0.4238,0.075,1.2072,21.57,149.58
7,20,3,25,3.0,ema200_price_above,509,0.391,0.087,1.2325,15.18,44.29
7,25,1,10,2.0,none,4789,0.4498,-0.0003,0.9991,70.84,-1.65
7,25,1,10,2.0,ema200_price_above,1306,0.4694,0.0423,1.1215,16.56,55.21
7,25,1,10,3.0,none,4474,0.4678,0.0025,1.0097,45.44,11.41
7,25,1,10,3.0,ema200_price_above,1268,0.4826,0.0269,1.1121,10.14,34.15
7,25,1,15,2.0,none,3910,0.4133,0.0018,1.0041,65.91,7.05
7,25,1,15,2.0,ema200_price_above,1100,0.4355,0.1164,1.2773,16.58,128.07
7,25,1,15,3.0,none,3543,0.4307,-0.0109,0.9659,68.98,-38.65
7,25,1,15,3.0,ema200_price_above,1048,0.4609,0.0846,1.2882,11.36,88.63
7,25,1,20,2.0,none,3403,0.39,0.0449,1.0908,65.65,152.94
7,25,1,20,2.0,ema200_price_above,966,0.411,0.209,1.4523,13.39,201.87
7,25,1,20,3.0,none,2980,0.4285,0.0313,1.0874,52.22,93.41
7,25,1,20,3.0,ema200_price_above,910,0.4495,0.1411,1.4355,9.19,128.4
7,25,1,25,2.0,none,3035,0.3881,0.132,1.2609,24.95,400.77
7,25,1,25,2.0,ema200_price_above,871,0.3961,0.2712,1.5406,14.19,236.25
7,25,1,25,3.0,none,2605,0.4299,0.0883,1.2363,23.56,230.03
7,25,1,25,3.0,ema200_price_above,795,0.444,0.2227,1.6334,8.3,177.08
7,25,3,10,2.0,none,3957,0.4597,0.0097,1.0272,40.8,38.31
7,25,3,10,2.0,ema200_price_above,964,0.4741,0.0578,1.1732,10.95,55.69
7,25,3,10,3.0,none,3626,0.473,0.0069,1.0276,29.34,24.86
7,25,3,10,3.0,ema200_price_above,927,0.48,0.0264,1.1121,9.31,24.47
7,25,3,15,2.0,none,3384,0.4317,0.0073,1.0172,49.06,24.77
7,25,3,15,2.0,ema200_price_above,855,0.4468,0.0948,1.2374,19.02,81.08
7,25,3,15,3.0,none,3027,0.4516,0.0026,1.0086,39.11,7.92
7,25,3,15,3.0,ema200_price_above,818,0.4719,0.0556,1.1949,13.5,45.46
7,25,3,20,2.0,none,3025,0.4221,0.0541,1.116,32.73,163.6
7,25,3,20,2.0,ema200_price_above,765,0.4196,0.1281,1.2945,14.8,97.98
7,25,3,20,3.0,none,2620,0.4473,0.0215,1.0623,33.72,56.39
7,25,3,20,3.0,ema200_price_above,719,0.4478,0.064,1.2021,13.49,46.0
7,25,3,25,2.0,none,2714,0.3913,0.1311,1.2696,26.21,355.72
7,25,3,25,2.0,ema200_price_above,687,0.3697,0.1519,1.3087,11.88,104.36
7,25,3,25,3.0,none,2341,0.4212,0.0787,1.215,15.24,184.27
7,25,3,25,3.0,ema200_price_above,648,0.3873,0.1104,1.2952,9.75,71.54
10,10,1,10,2.0,none,2532,0.4731,0.03,1.0851,32.56,76.05
10,10,1,10,2.0,ema200_price_above,553,0.5063,0.1242,1.39,7.37,68.69
10,10,1,10,3.0,none,2436,0.4893,0.016,1.0641,30.97,39.01
10,10,1,10,3.0,ema200_price_above,547,0.5119,0.0626,1.2657,6.08,34.26
10,10,1,15,2.0,none,2257,0.4107,-0.0338,0.9235,108.25,-76.17
10,10,1,15,2.0,ema200_price_above,514,0.465,0.1392,1.3676,10.92,71.57
10,10,1,15,3.0,none,2114,0.4461,-0.0199,0.9362,71.12,-42.02
10,10,1,15,3.0,ema200_price_above,508,0.4843,0.0758,1.2748,8.52,38.51
10,10,1,20,2.0,none,2070,0.414,0.033,1.0698,43.1,68.32
10,10,1,20,2.0,ema200_price_above,466,0.4185,0.1157,1.2705,14.82,53.91
10,10,1,20,3.0,none,1898,0.4647,0.0296,1.0867,30.81,56.24
10,10,1,20,3.0,ema200_price_above,456,0.4627,0.0784,1.2582,10.19,35.76
10,10,1,25,2.0,none,1917,0.3818,0.1023,1.2016,30.7,196.18
10,10,1,25,2.0,ema200_price_above,429,0.3753,0.2252,1.4556,24.74,96.62
10,10,1,25,3.0,none,1728,0.4277,0.0774,1.2102,16.29,133.83
10,10,1,25,3.0,ema200_price_above,420,0.4071,0.1383,1.3787,17.66,58.09
10,10,3,10,2.0,none,1054,0.4953,0.04,1.12,15.2,42.15
10,10,3,10,2.0,ema200_price_above,142,0.4577,0.039,1.108,6.3,5.54
10,10,3,10,3.0,none,1013,0.5202,0.0422,1.1922,9.88,42.78
10,10,3,10,3.0,ema200_price_above,138,0.471,0.0062,1.0228,5.92,0.85
10,10,3,15,2.0,none,1008,0.4474,0.0356,1.089,26.55,35.9
10,10,3,15,2.0,ema200_price_above,136,0.3971,-0.0679,0.8478,18.14,-9.24
10,10,3,15,3.0,none,964,0.4761,0.0357,1.1316,15.28,34.39
10,10,3,15,3.0,ema200_price_above,133,0.4135,-0.0523,0.8415,11.18,-6.96
10,10,3,20,2.0,none,972,0.4619,0.1685,1.3887,16.61,163.73
10,10,3,20,2.0,ema200_price_above,130,0.4077,0.0021,1.0041,13.61,0.27
10,10,3,20,3.0,none,913,0.5071,0.1344,1.4441,12.6,122.67
10,10,3,20,3.0,ema200_price_above,127,0.4409,-0.0457,0.8834,12.39,-5.81
10,10,3,25,2.0,none,946,0.4207,0.2169,1.4691,14.34,205.2
10,10,3,25,2.0,ema200_price_above,128,0.3359,0.2239,1.4168,16.46,28.66
10,10,3,25,3.0,none,883,0.4745,0.1762,1.5464,8.09,155.55
10,10,3,25,3.0,ema200_price_above,125,0.376,0.1209,1.2828,14.88,15.11
10,15,1,10,2.0,none,3321,0.464,0.0121,1.0335,45.52,40.34
10,15,1,10,2.0,ema200_price_above,770,0.5039,0.11,1.3364,12.67,84.71
10,15,1,10,3.0,none,3134,0.4831,0.0099,1.0393,24.95,31.05
10,15,1,10,3.0,ema200_price_above,752,0.5173,0.0649,1.2795,8.22,48.84
10,15,1,15,2.0,none,2873,0.4079,-0.0279,0.9378,134.13,-80.13
10,15,1,15,2.0,ema200_price_above,686,0.4563,0.1459,1.3685,13.22,100.09
10,15,1,15,3.0,none,2625,0.4419,-0.0063,0.9798,57.13,-16.5
10,15,1,15,3.0,ema200_price_above,671,0.4873,0.0982,1.3564,10.63,65.91
10,15,1,20,2.0,none,2605,0.4008,0.0322,1.066,36.91,83.85
10,15,1,20,2.0,ema200_price_above,621,0.4171,0.16,1.3678,15.39,99.34
10,15,1,20,3.0,none,2318,0.4551,0.035,1.1011,22.21,81.15
10,15,1,20,3.0,ema200_price_above,599,0.4574,0.1099,1.3591,10.46,65.81
10,15,1,25,2.0,none,2381,0.3801,0.0946,1.1845,35.43,225.28
10,15,1,25,2.0,ema200_price_above,564,0.3936,0.2398,1.4892,23.02,135.24
10,15,1,25,3.0,none,2093,0.4267,0.0797,1.2129,18.63,166.89
10,15,1,25,3.0,ema200_price_above,544,0.4301,0.1546,1.4236,17.92,84.13
10,15,3,10,2.0,none,2118,0.4717,-0.0096,0.9727,40.27,-20.41
10,15,3,10,2.0,ema200_price_above,384,0.4714,0.0349,1.0999,14.04,13.4
10,15,3,10,3.0,none,1980,0.4939,-0.0041,0.9833,29.31,-8.09
10,15,3,10,3.0,ema200_price_above,376,0.484,0.0043,1.0165,11.23,1.6
10,15,3,15,2.0,none,1980,0.4263,-0.0098,0.9766,47.21,-19.37
10,15,3,15,2.0,ema200_price_above,369,0.4309,0.0194,1.0465,13.81,7.15
10,15,3,15,3.0,none,1816,0.4438,-0.0244,0.9199,70.38,-44.35
10,15,3,15,3.0,ema200_price_above,362,0.453,-0.0042,0.9863,9.73,-1.53
10,15,3,20,2.0,none,1858,0.4257,0.0589,1.1284,21.38,109.5
10,15,3,20,2.0,ema200_price_above,348,0.3937,-0.0302,0.9366,21.13,-10.5
10,15,3,20,3.0,none,1660,0.4608,0.0329,1.0977,27.01,54.59
10,15,3,20,3.0,ema200_price_above,337,0.4243,-0.0471,0.8685,20.98,-15.89
10,15,3,25,2.0,none,1759,0.3866,0.1259,1.2571,23.6,221.4
10,15,3,25,2.0,ema200_price_above,329,0.3283,-0.0335,0.9387,37.85,-11.02
10,15,3,25,3.0,none,1543,0.4219,0.0604,1.1642,24.66,93.24
10,15,3,25,3.0,ema200_price_above,319,0.3542,-0.072,0.8323,36.37,-22.96
10,20,1,10,2.0,none,3917,0.4629,0.0063,1.0175,49.39,24.71
10,20,1,10,2.0,ema200_price_above,942,0.4873,0.0592,1.1765,12.33,55.77
10,20,1,10,3.0,none,3642,0.4758,0.0016,1.0064,31.7,5.91
10,20,1,10,3.0,ema200_price_above,910,0.5011,0.036,1.1539,9.28,32.74
