trade_idx,symbol,entry_time,exit_time,net_r,pnl_usd,equity_after,year
131,BNB_USDT,2025-02-04 00:00:00+00:00,2025-02-24 00:00:00+00:00,0.4064,11.41,11243.35,2025
132,SEI_USDT,2025-02-06 00:00:00+00:00,2025-02-26 00:00:00+00:00,0.5107,14.35,11257.7,2025
133,FIL_USDT,2025-02-06 00:00:00+00:00,2025-02-26 00:00:00+00:00,0.0208,0.59,11258.29,2025
134,ARKM_USDT,2025-02-06 00:00:00+00:00,2025-02-26 00:00:00+00:00,-0.1438,-4.05,11254.24,2025
135,LPT_USDT,2025-02-06 00:00:00+00:00,2025-02-26 00:00:00+00:00,-0.185,-5.21,11249.03,2025
136,ORDI_USDT,2025-02-06 00:00:00+00:00,2025-02-26 00:00:00+00:00,0.163,4.58,11253.62,2025
137,NEAR_USDT,2025-02-06 00:00:00+00:00,2025-02-26 00:00:00+00:00,-0.0918,-2.58,11251.03,2025
138,BTC_USDT,2025-02-26 00:00:00+00:00,2025-03-18 00:00:00+00:00,-0.1656,-4.66,11246.38,2025
139,SOL_USDT,2025-02-26 00:00:00+00:00,2025-03-18 00:00:00+00:00,-0.2599,-7.31,11239.07,2025
140,TON_USDT,2025-03-09 00:00:00+00:00,2025-03-29 00:00:00+00:00,1.267,35.6,11274.67,2025
141,SAGA_USDT,2025-03-09 00:00:00+00:00,2025-03-29 00:00:00+00:00,-0.1518,-4.28,11270.39,2025
142,GRT_USDT,2025-03-10 00:00:00+00:00,2025-03-30 00:00:00+00:00,0.1388,3.91,11274.3,2025
143,SAGA_USDT,2025-04-06 00:00:00+00:00,2025-04-26 00:00:00+00:00,1.0153,28.62,11302.92,2025
144,ALT_USDT,2025-04-06 00:00:00+00:00,2025-04-26 00:00:00+00:00,0.8105,22.9,11325.82,2025
145,EIGEN_USDT,2025-04-06 00:00:00+00:00,2025-04-26 00:00:00+00:00,1.0287,29.13,11354.95,2025
146,NIL_USDT,2025-04-07 00:00:00+00:00,2025-04-27 00:00:00+00:00,-0.1341,-3.81,11351.14,2025
147,LPT_USDT,2025-04-08 00:00:00+00:00,2025-04-28 00:00:00+00:00,1.2437,35.29,11386.43,2025
148,ETH_USDT,2025-04-08 00:00:00+00:00,2025-04-28 00:00:00+00:00,0.8537,24.3,11410.74,2025
149,TIA_USDT,2025-06-22 00:00:00+00:00,2025-07-12 00:00:00+00:00,0.9708,27.69,11438.43,2025
150,DOT_USDT,2025-06-22 00:00:00+00:00,2025-07-12 00:00:00+00:00,1.1053,31.61,11470.04,2025
151,HBAR_USDT,2025-06-22 00:00:00+00:00,2025-07-12 00:00:00+00:00,2.1262,60.97,11531.01,2025
152,SPK_USDT,2025-07-01 00:00:00+00:00,2025-07-21 00:00:00+00:00,1.4362,41.4,11572.41,2025
153,TON_USDT,2025-09-25 00:00:00+00:00,2025-10-15 00:00:00+00:00,-1.2227,-35.37,11537.03,2025
154,FET_USDT,2025-10-10 00:00:00+00:00,2025-10-30 00:00:00+00:00,-0.5923,-17.08,11519.95,2025
155,ICP_USDT,2025-10-10 00:00:00+00:00,2025-10-30 00:00:00+00:00,-0.1144,-3.29,11516.66,2025
156,RENDER_USDT,2025-10-10 00:00:00+00:00,2025-10-30 00:00:00+00:00,-0.0471,-1.36,11515.3,2025
157,JTO_USDT,2025-10-10 00:00:00+00:00,2025-10-30 00:00:00+00:00,-0.2041,-5.88,11509.42,2025
158,ATOM_USDT,2025-10-10 00:00:00+00:00,2025-10-30 00:00:00+00:00,0.0036,0.1,11509.53,2025
159,TIA_USDT,2025-10-10 00:00:00+00:00,2025-10-30 00:00:00+00:00,-0.0292,-0.84,11508.69,2025
160,FIL_USDT,2025-10-11 00:00:00+00:00,2025-10-31 00:00:00+00:00,-0.0559,-1.61,11507.08,2025
161,ASTER_USDT,2025-10-20 00:00:00+00:00,2025-11-09 00:00:00+00:00,-0.067,-1.93,11505.15,2025
162,JTO_USDT,2025-11-16 00:00:00+00:00,2025-12-06 00:00:00+00:00,-0.4491,-12.92,11492.23,2025
163,BTC_USDT,2025-11-20 00:00:00+00:00,2025-12-10 00:00:00+00:00,0.4079,11.72,11503.95,2025
164,ADA_USDT,2025-11-21 00:00:00+00:00,2025-12-11 00:00:00+00:00,0.1373,3.95,11507.9,2025
165,SUI_USDT,2025-11-21 00:00:00+00:00,2025-12-11 00:00:00+00:00,0.4741,13.64,11521.54,2025
166,TON_USDT,2025-11-21 00:00:00+00:00,2025-12-11 00:00:00+00:00,0.3135,9.03,11530.57,2025
167,APT_USDT,2025-11-29 00:00:00+00:00,2025-12-19 00:00:00+00:00,-0.6364,-18.35,11512.23,2025
168,JTO_USDT,2025-12-18 00:00:00+00:00,2026-01-07 00:00:00+00:00,1.0747,30.93,11543.16,2025
169,SEI_USDT,2026-01-31 00:00:00+00:00,2026-02-20 00:00:00+00:00,-0.8036,-23.19,11519.97,2026
170,UNI_USDT,2026-01-31 00:00:00+00:00,2026-02-20 00:00:00+00:00,-0.4966,-14.3,11505.67,2026
171,ENA_USDT,2026-01-31 00:00:00+00:00,2026-02-20 00:00:00+00:00,-0.6302,-18.13,11487.54,2026
172,ARB_USDT,2026-01-31 00:00:00+00:00,2026-02-20 00:00:00+00:00,-1.0974,-31.52,11456.02,2026
173,LTC_USDT,2026-01-31 00:00:00+00:00,2026-02-20 00:00:00+00:00,-0.3543,-10.15,11445.87,2026
174,LINK_USDT,2026-01-31 00:00:00+00:00,2026-02-20 00:00:00+00:00,-0.4839,-13.85,11432.03,2026
175,SUI_USDT,2026-01-31 00:00:00+00:00,2026-02-20 00:00:00+00:00,-0.6417,-18.34,11413.69,2026
176,BTC_USDT,2026-02-01 00:00:00+00:00,2026-02-21 00:00:00+00:00,-0.8972,-25.6,11388.09,2026
177,BNB_USDT,2026-02-01 00:00:00+00:00,2026-02-21 00:00:00+00:00,-1.2411,-35.33,11352.75,2026
178,NEAR_USDT,2026-02-01 00:00:00+00:00,2026-02-21 00:00:00+00:00,-0.3909,-11.09,11341.66,2026
179,ARB_USDT,2026-02-23 00:00:00+00:00,2026-03-15 00:00:00+00:00,0.4801,13.61,11355.27,2026
180,NIL_USDT,2026-03-27 00:00:00+00:00,2026-04-16 00:00:00+00:00,0.5031,14.28,11369.55,2026
181,SEI_USDT,2026-03-29 00:00:00+00:00,2026-04-18 00:00:00+00:00,0.4406,12.52,11382.08,2026
182,SAGA_USDT,2026-04-19 00:00:00+00:00,2026-05-09 00:00:00+00:00,0.1388,3.95,11386.03,2026
