symbol,entry_ts,r,funding,year,tf,lookback_n,hold_bars,atr_mult,ov_s7,ov_mc,ov_any
AAVEUSDT,1719936000000,2.356191493161876,0.0001,2024,4h,15,30,2.0,False,False,False
AAVEUSDT,1757419200000,-1.0,0.0001,2025,4h,15,30,2.0,True,False,True
AAVEUSDT,1759838400000,4.080118445482749,0.0001,2025,4h,15,30,2.0,False,True,True
ACEUSDT,1711944000000,1.769034311425545,0.00026498,2024,4h,15,30,2.0,True,True,True
ACEUSDT,1717776000000,1.1260496350613076,0.0002117,2024,4h,15,30,2.0,False,False,False
ACHUSDT,1682524800000,0.6645407132299003,0.0001,2023,4h,15,30,2.0,True,False,True
ACHUSDT,1685980800000,2.4875952842659848,0.0001,2023,4h,15,30,2.0,False,True,True
ACHUSDT,1692115200000,1.2099575288564242,0.0001,2023,4h,15,30,2.0,True,False,True
ACHUSDT,1696838400000,0.5894319432532595,0.0001,2023,4h,15,30,2.0,True,True,True
ACHUSDT,1702252800000,-0.2909673288078847,0.00061507,2023,4h,15,30,2.0,False,False,False
ACHUSDT,1704283200000,1.2064766562523603,0.00061301,2024,4h,15,30,2.0,False,False,False
ACHUSDT,1712937600000,-1.0,0.0001,2024,4h,15,30,2.0,False,False,False
ACHUSDT,1717776000000,0.825759378212182,0.00026834,2024,4h,15,30,2.0,False,True,True
ACHUSDT,1718380800000,-1.0,0.0001,2024,4h,15,30,2.0,False,True,True
ACHUSDT,1718668800000,-1.0,0.0001,2024,4h,15,30,2.0,False,False,False
ACHUSDT,1727798400000,-1.0,0.0001,2024,4h,15,30,2.0,False,True,True
ACHUSDT,1729886400000,-1.0,0.0001,2024,4h,15,30,2.0,True,True,True
ACHUSDT,1734552000000,0.8766070594595791,0.0001,2024,4h,15,30,2.0,False,False,False
ACHUSDT,1736251200000,1.5078785824581733,0.0001,2025,4h,15,30,2.0,False,True,True
ACHUSDT,1737273600000,-1.0,0.0001,2025,4h,15,30,2.0,False,True,True
ACHUSDT,1737316800000,-1.0,0.0001,2025,4h,15,30,2.0,False,True,True
ACHUSDT,1748563200000,0.1827112325553214,0.0001,2025,4h,15,30,2.0,True,False,True
ACHUSDT,1758499200000,1.4260209829267625,0.0001,2025,4h,15,30,2.0,True,True,True
ACHUSDT,1760126400000,-1.0,0.0001,2025,4h,15,30,2.0,True,True,True
ACHUSDT,1779465600000,0.8794700626704666,0.0001,2026,4h,15,30,2.0,True,False,True
ACHUSDT,1780401600000,1.8826509684198331,0.0001,2026,4h,15,30,2.0,True,False,True
ADAUSDT,1598371200000,-0.4923573389863249,0.00032867,2020,4h,15,30,2.0,False,False,False
ADAUSDT,1599134400000,1.4392207075734578,0.00010869,2020,4h,15,30,2.0,False,True,True
ADAUSDT,1600675200000,-1.0,0.0001,2020,4h,15,30,2.0,False,False,False
ADAUSDT,1618704000000,0.2753119189176427,0.00116023,2021,4h,15,30,2.0,False,False,False
ADAUSDT,1635321600000,-0.0217102392087203,0.00092131,2021,4h,15,30,2.0,True,True,True
ADAUSDT,1637020800000,0.0890376027626302,0.00038254,2021,4h,15,30,2.0,False,True,True
ADAUSDT,1637755200000,1.1058289136892543,0.00036662,2021,4h,15,30,2.0,False,False,False
ADAUSDT,1638590400000,-0.1248958614415961,0.0001,2021,4h,15,30,2.0,False,False,False
ADAUSDT,1641412800000,1.572938238736373,0.0001,2022,4h,15,30,2.0,True,False,True
ADAUSDT,1649664000000,0.0459737629974621,0.0001,2022,4h,15,30,2.0,True,True,True
ADAUSDT,1665388800000,5.401194513119028,0.0001,2022,4h,15,30,2.0,True,False,True
ADAUSDT,1669593600000,-1.0,0.0001,2022,4h,15,30,2.0,True,False,True
ADAUSDT,1677801600000,-0.0306300827698119,0.0001,2023,4h,15,30,2.0,False,False,False
ADAUSDT,1685966400000,10.756692103411378,0.0001,2023,4h,15,30,2.0,True,True,True
ADAUSDT,1691409600000,-1.0,0.0001,2023,4h,15,30,2.0,True,True,True
ADAUSDT,1696838400000,0.8562572381414595,0.0001,2023,4h,15,30,2.0,True,True,True
ADAUSDT,1704672000000,-1.0,0.0001,2024,4h,15,30,2.0,False,False,False
ADAUSDT,1705593600000,1.2759452305746517,0.0001,2024,4h,15,30,2.0,False,True,True
ADAUSDT,1711540800000,-1.0,0.00042152,2024,4h,15,30,2.0,False,True,True
ADAUSDT,1711944000000,2.03011583481626,0.00051829,2024,4h,15,30,2.0,False,True,True
ADAUSDT,1712937600000,1.1821887709603638,0.0001,2024,4h,15,30,2.0,False,False,False
ADAUSDT,1716465600000,0.3659474099492693,0.0001,2024,4h,15,30,2.0,False,True,True
ADAUSDT,1717776000000,0.3813434327159885,0.00016832,2024,4h,15,30,2.0,False,True,True
ADAUSDT,1718668800000,-0.2497881512196093,0.0001,2024,4h,15,30,2.0,False,False,False
ADAUSDT,1720051200000,1.4755319092607817,0.0001,2024,4h,15,30,2.0,True,True,True
ADAUSDT,1724788800000,0.6000044487742964,0.0001,2024,4h,15,30,2.0,True,False,True
ADAUSDT,1727798400000,-0.0049830817507228,0.0001,2024,4h,15,30,2.0,False,False,False
ADAUSDT,1729886400000,-1.0,0.0001,2024,4h,15,30,2.0,False,True,True
ADAUSDT,1734552000000,0.9750498562929298,0.0001,2024,4h,15,30,2.0,False,False,False
ADAUSDT,1737950400000,-1.0,0.0001,2025,4h,15,30,2.0,False,True,True
ADAUSDT,1740456000000,-0.2481293176729283,0.0001,2025,4h,15,30,2.0,False,False,False
ADAUSDT,1760126400000,-0.3178386109539043,0.0001,2025,4h,15,30,2.0,False,False,False
ADAUSDT,1762272000000,-1.0,0.0001,2025,4h,15,30,2.0,False,False,False
ADAUSDT,1769356800000,-1.0,0.0001,2026,4h,15,30,2.0,True,False,True
ADAUSDT,1780531200000,2.3174452298890262,0.0001,2026,4h,15,30,2.0,False,False,False
AEROUSDT,1758499200000,0.5028021283647309,0.00015553,2025,4h,15,30,2.0,False,True,True
AEVOUSDT,1717776000000,1.0861722934192783,0.00019579,2024,4h,15,30,2.0,True,False,True
AGLDUSDT,1696838400000,0.5068690068979501,0.0001,2023,4h,15,30,2.0,False,False,False
AGLDUSDT,1705910400000,0.6307483820484526,0.0001,2024,4h,15,30,2.0,False,False,False
AGLDUSDT,1706760000000,-1.0,0.0001,2024,4h,15,30,2.0,False,False,False
AGLDUSDT,1710489600000,0.6647456114228089,0.00052344,2024,4h,15,30,2.0,False,True,True
AGLDUSDT,1712044800000,-1.0,0.00052626,2024,4h,15,30,2.0,False,True,True
AGLDUSDT,1712937600000,0.7622212634833926,0.0001,2024,4h,15,30,2.0,False,True,True
AGLDUSDT,1720051200000,1.0270363893270538,0.0001,2024,4h,15,30,2.0,True,False,True
AGLDUSDT,1733227200000,-1.0,0.00050436,2024,4h,15,30,2.0,False,False,False
AGLDUSDT,1733774400000,0.1560160119081287,0.0001,2024,4h,15,30,2.0,False,True,True
AGLDUSDT,1738540800000,-1.0,0.0001,2025,4h,15,30,2.0,False,False,False
AGLDUSDT,1743955200000,-1.0,0.0001,2025,4h,15,30,2.0,False,False,False
AGLDUSDT,1748563200000,0.346746007851026,0.0001,2025,4h,15,30,2.0,True,False,True
AGLDUSDT,1758499200000,2.785735535751961,0.0001,2025,4h,15,30,2.0,True,True,True
AGLDUSDT,1760126400000,-1.0,0.0001,2025,4h,15,30,2.0,True,True,True
AKTUSDT,1760097600000,3.5057500933972645,0.00012984,2025,4h,15,30,2.0,True,True,True
ALCHUSDT,1750420800000,-1.0,0.00020675,2025,4h,15,30,2.0,True,False,True
ALCHUSDT,1755792000000,-1.0,0.00016504,2025,4h,15,30,2.0,True,False,True
ALCHUSDT,1757592000000,-1.0,0.00012308,2025,4h,15,30,2.0,True,False,True
ALCHUSDT,1758427200000,-1.0,0.00025959,2025,4h,15,30,2.0,True,True,True
ALCHUSDT,1764216000000,-1.0,0.00038047,2025,4h,15,30,2.0,False,False,False
ALCHUSDT,1766577600000,0.3100093972505287,0.00010152,2025,4h,15,30,2.0,False,False,False
ALCHUSDT,1768881600000,0.953815020831585,0.00035726,2026,4h,15,30,2.0,False,False,False
ALCHUSDT,1780545600000,0.5811331933101243,0.00025306,2026,4h,15,30,2.0,True,False,True
ALGOUSDT,1599033600000,1.9999624104387848,0.0017067,2020,4h,15,30,2.0,False,False,False
ALGOUSDT,1600675200000,-1.0,0.0001,2020,4h,15,30,2.0,False,False,False
ALGOUSDT,1616443200000,-1.0,0.00097174,2021,4h,15,30,2.0,False,True,True
ALGOUSDT,1621425600000,0.1609943487909609,0.0001,2021,4h,15,30,2.0,False,False,False
ALGOUSDT,1637020800000,-1.0,0.00021011,2021,4h,15,30,2.0,False,True,True
ALGOUSDT,1637913600000,-1.0,0.00041433,2021,4h,15,30,2.0,False,False,False
ALGOUSDT,1638590400000,-1.0,0.0001,2021,4h,15,30,2.0,False,True,True
ALGOUSDT,1639396800000,0.0573132777120635,0.0001,2021,4h,15,30,2.0,False,False,False
ALGOUSDT,1650254400000,-1.0,0.0001,2022,4h,15,30,2.0,True,False,True
ALGOUSDT,1662480000000,-1.0,0.0001,2022,4h,15,30,2.0,True,True,True
ALGOUSDT,1663070400000,-0.3731933300765824,0.0001,2022,4h,15,30,2.0,True,True,True
ALGOUSDT,1670385600000,-1.0,0.0001,2022,4h,15,30,2.0,True,False,True
ALGOUSDT,1671220800000,0.965390777700435,0.0001,2022,4h,15,30,2.0,True,False,True
ALGOUSDT,1677801600000,0.8611257301868793,0.0001,2023,4h,15,30,2.0,True,False,True
ALGOUSDT,1679918400000,-1.0,0.0001,2023,4h,15,30,2.0,False,True,True
ALGOUSDT,1681891200000,1.6693836283884496,0.00012896,2023,4h,15,30,2.0,False,True,True
ALGOUSDT,1682524800000,-0.043378463828521,0.0001,2023,4h,15,30,2.0,True,False,True
ALGOUSDT,1683504000000,0.402115976370889,0.0001,2023,4h,15,30,2.0,True,False,True
ALGOUSDT,1684929600000,0.6916099770985903,0.0001,2023,4h,15,30,2.0,True,True,True
ALGOUSDT,1685966400000,5.797080839215132,0.0001,2023,4h,15,30,2.0,True,False,True
ALGOUSDT,1690185600000,-0.1743997090540089,0.0001,2023,4h,15,30,2.0,True,True,True
ALGOUSDT,1692115200000,2.4142756792801747,0.0001,2023,4h,15,30,2.0,True,True,True
ALGOUSDT,1696838400000,0.3266333232673445,0.0001,2023,4h,15,30,2.0,True,True,True
ALGOUSDT,1705593600000,2.0281213103193245,0.0001,2024,4h,15,30,2.0,False,False,False
ALGOUSDT,1712937600000,1.325203766253516,0.0001,2024,4h,15,30,2.0,False,False,False
ALGOUSDT,1717776000000,0.7332163280029816,0.0001,2024,4h,15,30,2.0,False,True,True
ALGOUSDT,1718668800000,-1.0,0.0001,2024,4h,15,30,2.0,False,False,False
ALGOUSDT,1720051200000,0.7495140660387002,0.0001,2024,4h,15,30,2.0,True,True,True
ALGOUSDT,1724788800000,1.1174903253161363,0.0001,2024,4h,15,30,2.0,True,True,True
ALGOUSDT,1727784000000,0.2832837381358045,0.0001,2024,4h,15,30,2.0,False,True,True
ALGOUSDT,1729886400000,-1.0,0.0001,2024,4h,15,30,2.0,True,True,True
ALGOUSDT,1738512000000,0.7853934134100083,0.0001,2025,4h,15,30,2.0,False,False,False
ALGOUSDT,1758499200000,1.746156556173126,0.0001,2025,4h,15,30,2.0,False,True,True
ALGOUSDT,1760126400000,-1.0,0.0001,2025,4h,15,30,2.0,False,True,True
ALICEUSDT,1623830400000,1.1508518053447656,0.0001,2021,4h,15,30,2.0,True,False,True
ALICEUSDT,1631016000000,0.0505708554255317,0.00075763,2021,4h,15,30,2.0,False,False,False
ALICEUSDT,1635321600000,-1.0,0.00061308,2021,4h,15,30,2.0,True,True,True
