symbol,entry_time,exit_time,net_r,pnl_usd,equity_after,year
JTO_USDT,2024-05-25 00:00:00+00:00,2024-06-07 00:00:00+00:00,-1.0,-28.97,11558.67,2024
LTC_USDT,2024-05-25 00:00:00+00:00,2024-06-07 00:00:00+00:00,-1.0,-28.9,11529.77,2024
HBAR_USDT,2024-06-01 00:00:00+00:00,2024-06-07 00:00:00+00:00,-1.0,-28.82,11500.95,2024
PENDLE_USDT,2024-06-10 00:00:00+00:00,2024-06-30 00:00:00+00:00,-0.1827,-5.25,11495.7,2024
BNB_USDT,2024-06-11 00:00:00+00:00,2024-07-01 00:00:00+00:00,-0.4459,-12.81,11482.88,2024
BTC_USDT,2024-06-21 00:00:00+00:00,2024-06-24 00:00:00+00:00,-1.0,-28.71,11454.17,2024
PEPE_USDT,2024-07-05 00:00:00+00:00,2024-07-25 00:00:00+00:00,1.154,33.05,11487.22,2024
TRX_USDT,2024-08-02 00:00:00+00:00,2024-08-22 00:00:00+00:00,4.8099,138.13,11625.35,2024
SOL_USDT,2024-08-02 00:00:00+00:00,2024-08-05 00:00:00+00:00,-1.0,-29.06,11596.29,2024
PEPE_USDT,2024-08-03 00:00:00+00:00,2024-08-05 00:00:00+00:00,-1.0,-28.99,11567.3,2024
ZEC_USDT,2024-08-22 00:00:00+00:00,2024-08-27 00:00:00+00:00,-1.0,-28.92,11538.38,2024
ZEC_USDT,2024-08-29 00:00:00+00:00,2024-09-04 00:00:00+00:00,-1.0,-28.85,11509.53,2024
TRX_USDT,2024-09-04 00:00:00+00:00,2024-09-24 00:00:00+00:00,0.111,3.19,11512.72,2024
AAVE_USDT,2024-10-02 00:00:00+00:00,2024-10-22 00:00:00+00:00,0.6198,17.84,11530.56,2024
BNB_USDT,2024-10-02 00:00:00+00:00,2024-10-22 00:00:00+00:00,1.0637,30.66,11561.23,2024
PEPE_USDT,2024-10-03 00:00:00+00:00,2024-10-23 00:00:00+00:00,0.5538,16.01,11577.23,2024
TAO_USDT,2024-10-17 00:00:00+00:00,2024-11-01 00:00:00+00:00,-1.0,-28.94,11548.29,2024
AAVE_USDT,2024-10-25 00:00:00+00:00,2024-11-14 00:00:00+00:00,1.1484,33.16,11581.45,2024
APT_USDT,2024-11-03 00:00:00+00:00,2024-11-23 00:00:00+00:00,2.9355,84.99,11666.44,2024
BTC_USDT,2024-11-03 00:00:00+00:00,2024-11-23 00:00:00+00:00,6.5684,191.57,11858.01,2024
BNB_USDT,2024-11-03 00:00:00+00:00,2024-11-23 00:00:00+00:00,2.4973,74.03,11932.05,2024
TRX_USDT,2024-11-04 00:00:00+00:00,2024-11-24 00:00:00+00:00,7.8428,233.95,12166.0,2024
ZEC_USDT,2024-11-13 00:00:00+00:00,2024-12-03 00:00:00+00:00,4.8449,147.36,12313.35,2024
PEPE_USDT,2024-11-20 00:00:00+00:00,2024-12-10 00:00:00+00:00,0.7383,22.73,12336.08,2024
DASH_USDT,2024-12-10 00:00:00+00:00,2024-12-30 00:00:00+00:00,-0.4493,-13.86,12322.23,2024
TRX_USDT,2024-12-21 00:00:00+00:00,2025-01-10 00:00:00+00:00,-0.0074,-0.23,12322.0,2024
EIGEN_USDT,2024-12-21 00:00:00+00:00,2025-01-10 00:00:00+00:00,-0.4313,-13.29,12308.71,2024
UNI_USDT,2025-01-09 00:00:00+00:00,2025-01-27 00:00:00+00:00,-1.0,-30.77,12277.94,2025
AAVE_USDT,2025-01-09 00:00:00+00:00,2025-01-29 00:00:00+00:00,0.1788,5.49,12283.43,2025
ZEN_USDT,2025-01-20 00:00:00+00:00,2025-02-02 00:00:00+00:00,-1.0,-30.71,12252.72,2025
SUI_USDT,2025-01-26 00:00:00+00:00,2025-02-03 00:00:00+00:00,-1.0,-30.63,12222.09,2025
LINK_USDT,2025-01-28 00:00:00+00:00,2025-02-03 00:00:00+00:00,-1.0,-30.56,12191.53,2025
LTC_USDT,2025-02-04 00:00:00+00:00,2025-02-24 00:00:00+00:00,0.5599,17.07,12208.6,2025
BTC_USDT,2025-02-08 00:00:00+00:00,2025-02-25 00:00:00+00:00,-1.0,-30.52,12178.08,2025
XRP_USDT,2025-03-29 00:00:00+00:00,2025-04-06 00:00:00+00:00,-1.0,-30.45,12147.63,2025
ZEC_USDT,2025-05-16 00:00:00+00:00,2025-06-05 00:00:00+00:00,1.1861,36.02,12183.65,2025
TRX_USDT,2025-05-19 00:00:00+00:00,2025-06-08 00:00:00+00:00,0.8146,24.81,12208.46,2025
XRP_USDT,2025-06-14 00:00:00+00:00,2025-06-22 00:00:00+00:00,-1.0,-30.52,12177.94,2025
ZEC_USDT,2025-06-15 00:00:00+00:00,2025-06-22 00:00:00+00:00,-1.0,-30.44,12147.5,2025
AAVE_USDT,2025-06-15 00:00:00+00:00,2025-06-21 00:00:00+00:00,-1.0,-30.37,12117.13,2025
BNB_USDT,2025-06-21 00:00:00+00:00,2025-07-11 00:00:00+00:00,1.9793,59.96,12177.09,2025
HBAR_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,-0.1139,-3.47,12173.62,2025
SUI_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,-0.0714,-2.17,12171.45,2025
ADA_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,1.2002,36.52,12207.97,2025
BNB_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,1.0522,32.11,12240.08,2025
SOL_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,0.7648,23.4,12263.48,2025
UNI_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,0.7112,21.8,12285.29,2025
AAVE_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,1.2445,38.22,12323.51,2025
BTC_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,-0.1497,-4.61,12318.9,2025
LINK_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,3.309,101.91,12420.81,2025
SEI_USDT,2025-08-01 00:00:00+00:00,2025-08-21 00:00:00+00:00,0.152,4.72,12425.53,2025
BCH_USDT,2025-08-17 00:00:00+00:00,2025-09-06 00:00:00+00:00,0.2259,7.02,12432.54,2025
SPK_USDT,2025-08-18 00:00:00+00:00,2025-09-07 00:00:00+00:00,-0.5814,-18.07,12414.47,2025
XRP_USDT,2025-08-31 00:00:00+00:00,2025-09-20 00:00:00+00:00,0.6184,19.19,12433.67,2025
ENA_USDT,2025-09-16 00:00:00+00:00,2025-09-22 00:00:00+00:00,-1.0,-31.08,12402.58,2025
XRP_USDT,2025-09-22 00:00:00+00:00,2025-10-10 00:00:00+00:00,-1.0,-31.01,12371.58,2025
BCH_USDT,2025-09-23 00:00:00+00:00,2025-10-10 00:00:00+00:00,-1.0,-30.93,12340.65,2025
PENDLE_USDT,2025-09-23 00:00:00+00:00,2025-10-10 00:00:00+00:00,-1.0,-30.85,12309.79,2025
LINK_USDT,2025-09-23 00:00:00+00:00,2025-10-10 00:00:00+00:00,-1.0,-30.77,12279.02,2025
WLD_USDT,2025-09-23 00:00:00+00:00,2025-10-10 00:00:00+00:00,-1.0,-30.7,12248.32,2025
