symbol,entry_time,exit_time,net_r,variant
ETC/USDT,2021-05-03 00:00:00+00:00,2021-05-07 00:00:00+00:00,8.891685120821293,max5
QTUM/USDT,2021-05-06 00:00:00+00:00,2021-05-12 00:00:00+00:00,-0.9999999999999998,max5
ZEC/USDT,2021-05-06 00:00:00+00:00,2021-05-13 00:00:00+00:00,-1.0000000000000002,max5
ADA/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0,max5
AVAX/USDT,2021-05-06 00:00:00+00:00,2021-05-19 00:00:00+00:00,-1.0000000000000002,max5
MTL/USDT,2021-07-12 00:00:00+00:00,2021-07-14 00:00:00+00:00,-0.9999999999999998,max5
ARDR/USDT,2021-07-31 00:00:00+00:00,2021-08-01 00:00:00+00:00,-1.0000000000000004,max5
BTC/USDT,2021-07-30 00:00:00+00:00,2021-08-03 00:00:00+00:00,-0.9999999999999996,max5
QTUM/USDT,2021-08-06 00:00:00+00:00,2021-08-27 00:00:00+00:00,1.9485713491280932,max5
ETH/USDT,2021-07-30 00:00:00+00:00,2021-09-07 00:00:00+00:00,3.188723634280697,max5
TRX/USDT,2021-08-05 00:00:00+00:00,2021-09-07 00:00:00+00:00,2.8637374974942453,max5
JST/USDT,2021-09-02 00:00:00+00:00,2021-09-07 00:00:00+00:00,-1.0,max5
NEAR/USDT,2021-09-07 00:00:00+00:00,2021-09-08 00:00:00+00:00,-1.0000000000000004,max5
FET/USDT,2021-07-25 00:00:00+00:00,2021-09-09 00:00:00+00:00,7.196514528209004,max5
NEAR/USDT,2021-09-08 00:00:00+00:00,2021-09-10 00:00:00+00:00,-1.0,max5
IOST/USDT,2021-09-08 00:00:00+00:00,2021-09-13 00:00:00+00:00,-1.0,max5
HBAR/USDT,2021-07-30 00:00:00+00:00,2021-09-18 00:00:00+00:00,5.6589028908556775,max5
TRX/USDT,2021-09-12 00:00:00+00:00,2021-09-20 00:00:00+00:00,-0.9999999999999998,max5
JST/USDT,2021-09-16 00:00:00+00:00,2021-09-20 00:00:00+00:00,-1.0000000000000002,max5
AVAX/USDT,2021-09-16 00:00:00+00:00,2021-10-06 00:00:00+00:00,-0.464859735130692,max5
CELR/USDT,2021-09-23 00:00:00+00:00,2021-10-06 00:00:00+00:00,-0.2388677123397774,max5
JST/USDT,2021-10-09 00:00:00+00:00,2021-10-12 00:00:00+00:00,-0.9999999999999998,max5
VTHO/USDT,2021-10-05 00:00:00+00:00,2021-10-12 00:00:00+00:00,-1.0,max5
QTUM/USDT,2021-10-02 00:00:00+00:00,2021-10-27 00:00:00+00:00,-0.9999999999999998,max5
BTC/USDT,2021-10-05 00:00:00+00:00,2021-10-27 00:00:00+00:00,1.3451952716084357,max5
VET/USDT,2021-10-09 00:00:00+00:00,2021-11-16 00:00:00+00:00,1.2800305698336896,max5
ETH/USDT,2021-10-14 00:00:00+00:00,2021-11-16 00:00:00+00:00,0.963698910528862,max5
ZEC/USDT,2021-10-17 00:00:00+00:00,2021-11-16 00:00:00+00:00,2.0818759200766364,max5
ZRX/USDT,2021-10-30 00:00:00+00:00,2021-11-16 00:00:00+00:00,-0.222898294643098,max5
HBAR/USDT,2021-10-30 00:00:00+00:00,2021-11-18 00:00:00+00:00,-1.0,max5
CELR/USDT,2021-11-21 00:00:00+00:00,2021-11-26 00:00:00+00:00,-0.9999999999999998,max5
SC/USDT,2021-11-26 00:00:00+00:00,2021-11-28 00:00:00+00:00,-0.9999999999999998,max5
ZEC/USDT,2021-11-21 00:00:00+00:00,2021-12-04 00:00:00+00:00,-1.0000000000000004,max5
NEAR/USDT,2021-12-11 00:00:00+00:00,2021-12-13 00:00:00+00:00,-1.0000000000000004,max5
ICX/USDT,2021-12-28 00:00:00+00:00,2021-12-29 00:00:00+00:00,-1.0000000000000004,max5
DUSK/USDT,2021-12-13 00:00:00+00:00,2022-01-05 00:00:00+00:00,2.0074125899737343,max5
CELR/USDT,2022-01-15 00:00:00+00:00,2022-01-18 00:00:00+00:00,-1.0000000000000002,max5
NEAR/USDT,2022-01-11 00:00:00+00:00,2022-01-21 00:00:00+00:00,-1.0,max5
JST/USDT,2022-03-26 00:00:00+00:00,2022-04-01 00:00:00+00:00,4.897629386897432,max5
IOST/USDT,2022-03-26 00:00:00+00:00,2022-04-01 00:00:00+00:00,3.001005036285725,max5
ZEC/USDT,2022-03-08 00:00:00+00:00,2022-04-06 00:00:00+00:00,1.025675623285616,max5
ETC/USDT,2022-03-20 00:00:00+00:00,2022-04-06 00:00:00+00:00,0.0585307424124955,max5
SC/USDT,2022-04-01 00:00:00+00:00,2022-04-06 00:00:00+00:00,-1.0,max5
ZRX/USDT,2022-04-03 00:00:00+00:00,2022-04-06 00:00:00+00:00,-0.9999999999999996,max5
MTL/USDT,2022-04-12 00:00:00+00:00,2022-04-15 00:00:00+00:00,-0.9999999999999996,max5
ZRX/USDT,2022-04-20 00:00:00+00:00,2022-04-21 00:00:00+00:00,-0.9999999999999998,max5
NEAR/USDT,2022-03-23 00:00:00+00:00,2022-04-25 00:00:00+00:00,0.9763852242795618,max5
MTL/USDT,2022-04-18 00:00:00+00:00,2022-04-30 00:00:00+00:00,-1.0000000000000002,max5
TRX/USDT,2022-05-04 00:00:00+00:00,2022-05-05 00:00:00+00:00,-1.0,max5
ETC/USDT,2022-07-27 00:00:00+00:00,2022-08-19 00:00:00+00:00,0.0,max5
HBAR/USDT,2023-01-20 00:00:00+00:00,2023-01-24 00:00:00+00:00,-0.9999999999999992,max5
BTC/USDT,2023-01-20 00:00:00+00:00,2023-02-09 00:00:00+00:00,-0.7184664220388493,max5
FET/USDT,2023-01-06 00:00:00+00:00,2023-02-09 00:00:00+00:00,15.98257576893877,max5
ETH/USDT,2023-01-14 00:00:00+00:00,2023-02-10 00:00:00+00:00,-0.4256865432932034,max5
DUSK/USDT,2023-01-24 00:00:00+00:00,2023-02-11 00:00:00+00:00,4.133361074903037,max5
DUSK/USDT,2023-02-15 00:00:00+00:00,2023-02-20 00:00:00+00:00,-1.0,max5
IOST/USDT,2023-02-20 00:00:00+00:00,2023-02-21 00:00:00+00:00,-1.0,max5
HBAR/USDT,2023-02-11 00:00:00+00:00,2023-02-24 00:00:00+00:00,-1.0000000000000002,max5
BTC/USDT,2023-02-15 00:00:00+00:00,2023-02-24 00:00:00+00:00,-1.0000000000000002,max5
ARDR/USDT,2023-02-24 00:00:00+00:00,2023-03-02 00:00:00+00:00,-1.0,max5
ZRX/USDT,2023-03-01 00:00:00+00:00,2023-03-03 00:00:00+00:00,-0.9999999999999996,max5
CELR/USDT,2023-02-11 00:00:00+00:00,2023-03-03 00:00:00+00:00,-0.7036472948070712,max5
TRX/USDT,2023-01-14 00:00:00+00:00,2023-03-08 00:00:00+00:00,0.9217690828067872,max5
QTUM/USDT,2023-03-19 00:00:00+00:00,2023-03-22 00:00:00+00:00,-1.0000000000000004,max5
