symbol,trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,best_r,worst_r,avg_mfe_r,avg_mae_r,top_month,top_month_pct,step_b_included,step_b_v2_included
GTC/USDT,10,-6.6417958574241736,-0.6641795857424173,0.1,0.2137075377400505,-5.6417958574241736,1.8051830673571068,-1.0000000000000002,1.808043846784275,-1.3826260984506724,2024-03,0.0,True,False
HBAR/USDT,23,11.155954304010788,0.4850414914787299,0.3478260869565217,1.7570402039038313,-6.0,5.6589028908556775,-1.0000000000000009,2.742896923972287,-1.0070809252010609,2021-09,0.5072540400081407,True,True
HIGH/USDT,12,-8.326240266625312,-0.6938533555521094,0.1666666666666666,0.1673759733374687,-7.326240266625311,1.4305340334679808,-1.0000000000000004,2.439726951850961,-1.3343000822591549,2024-03,0.0,True,False
HIVE/USDT,17,-1.951122759013399,-0.1147719270007881,0.2352941176470588,0.8461013498517398,-7.615327942571829,3.504594539447926,-1.0000000000000004,1.894511828517229,-1.0481005308507891,2021-11,0.0,True,False
HOT/USDT,22,13.92359899277318,0.6328908633078718,0.3636363636363636,2.028042536797527,-6.543796578833039,10.36042683911306,-1.0000000000000009,2.9777703090812184,-1.0250199756120613,2021-02,0.7440911537663841,True,False
ICP/USDT,15,0.1633652049562887,0.0108910136637525,0.1333333333333333,1.0137988972899044,-6.178718411744551,9.34208361670084,-1.0000000000000009,2.194748029270309,-1.024171026358898,2023-12,57.18527160787074,True,False
ICX/USDT,15,13.318687360880087,0.8879124907253393,0.4,2.656090506418638,-2.0590442661538635,8.383224459234945,-1.0000000000000009,3.5910563205720885,-0.9615494186327828,2021-02,0.5543507598895292,True,True
ILV/USDT,7,3.443231139207155,0.4918901627438793,0.4285714285714285,1.8608077848017888,-4.0,2.73507455995865,-1.0000000000000002,2.8076299394707425,-0.7294958775442889,2023-11,0.7943337084795399,True,False
IMX/USDT,11,7.639485849178117,0.6944987135616469,0.5454545454545454,2.76181882711852,-2.7287347668639743,5.066208112913194,-1.0000000000000002,2.870303289530146,-0.7651515933475661,2023-11,0.6631608740342434,True,False
INJ/USDT,18,12.280984594617111,0.6822769219231729,0.3888888888888889,2.1578063273515986,-5.647562728993005,10.945850599945423,-1.0000000000000004,2.7552411567267407,-0.8503322529254336,2023-11,0.891284450005996,True,False
IOST/USDT,16,15.81320898931118,0.9883255618319488,0.5,2.9766511236638973,-3.000000000000001,5.3380366827020325,-1.0000000000000009,3.5614049857870995,-0.984994977993563,2021-09,0.2743299405980339,True,True
IOTA/USDT,18,11.008109302601996,0.6115616279223332,0.2222222222222222,1.7862935216144284,-7.000000000000002,14.563897340725807,-1.0000000000000004,2.956947258724912,-1.303235849000435,2024-12,1.3230153280984709,True,False
IOTX/USDT,20,26.58938095990017,1.3294690479950084,0.3,2.8992414971357268,-7.98874474263328,22.413893133076986,-1.0000000000000009,3.876461369273126,-1.0080147429923108,2021-08,0.8429640827998102,True,False
JASMY/USDT,12,12.451383105791624,1.0376152588159686,0.25,2.383487011754625,-3.0,9.546656346950105,-1.0000000000000004,3.72958653308992,-1.0682826395410576,2024-02,0.7667145300918081,True,False
JOE/USDT,10,5.593283544430067,0.5593283544430067,0.4,1.9322139240716767,-2.0000000000000004,6.199884771060138,-1.0000000000000004,2.843583182670665,-1.026019592936999,2023-12,1.1084517210349796,True,False
JST/USDT,22,23.95803813021053,1.089001733191388,0.4090909090909091,2.8833982434902663,-3.0,7.031900308988939,-1.0000000000000004,3.684200624850085,-1.1521644480097644,2026-04,0.2935090206790294,True,True
JUV/USDT,7,-6.009148445278371,-0.8584497778969101,0.0,0.0,-5.999999999999999,-0.0091484452783717,-1.0000000000000009,2.1034002346243668,-1.616993809177719,2021-08,0.0,True,False
