symbol,base,bars,first_date,last_date,excluded,included
SFP/USDT,SFP,1936,2021-02-08,2026-05-28,,True
SHELL/USDT,SHELL,456,2025-02-27,2026-05-28,insufficient_bars,False
SHIB/USDT,SHIB,1845,2021-05-10,2026-05-28,,True
SIGN/USDT,SIGN,396,2025-04-28,2026-05-28,insufficient_bars,False
SKL/USDT,SKL,2005,2020-12-01,2026-05-28,,True
SKY/USDT,SKY,254,2025-09-17,2026-05-28,insufficient_bars,False
SLP/USDT,SLP,1855,2021-04-30,2026-05-28,,True
SNX/USDT,SNX,2150,2020-07-09,2026-05-28,,True
SOL/USDT,SOL,2117,2020-08-11,2026-05-28,,True
SOLV/USDT,SOLV,497,2025-01-17,2026-05-28,insufficient_bars,False
SOMI/USDT,SOMI,269,2025-09-02,2026-05-28,insufficient_bars,False
SOPH/USDT,SOPH,366,2025-05-28,2026-05-28,insufficient_bars,False
SPELL/USDT,SPELL,1617,2021-12-24,2026-05-28,,True
SPK/USDT,SPK,346,2025-06-17,2026-05-28,insufficient_bars,False
SSV/USDT,SSV,1190,2023-02-24,2026-05-28,insufficient_bars,False
STEEM/USDT,STEEM,1498,2022-04-22,2026-05-28,insufficient_bars,False
STG/USDT,STG,1379,2022-08-19,2026-05-28,insufficient_bars,False
STO/USDT,STO,392,2025-05-02,2026-05-28,insufficient_bars,False
STORJ/USDT,STORJ,2129,2020-07-30,2026-05-28,,True
STRAX/USDT,STRAX,2011,2020-11-18,2026-05-28,,True
STRK/USDT,STRK,829,2024-02-20,2026-05-28,insufficient_bars,False
STX/USDT,STX,2200,2020-05-20,2026-05-28,,True
SUI/USDT,SUI,1122,2023-05-03,2026-05-28,insufficient_bars,False
SUN/USDT,SUN,2073,2020-09-21,2026-05-28,,True
SUPER/USDT,SUPER,0,,,leveraged_substr:UP,False
SUSHI/USDT,SUSHI,2096,2020-09-01,2026-05-28,,True
SXT/USDT,SXT,386,2025-05-08,2026-05-28,insufficient_bars,False
SYN/USDT,SYN,1192,2023-02-22,2026-05-28,insufficient_bars,False
SYRUP/USDT,SYRUP,0,,,leveraged_substr:UP,False
T/USDT,T,1554,2022-02-25,2026-05-28,,True
TAO/USDT,TAO,778,2024-04-11,2026-05-28,insufficient_bars,False
TFUEL/USDT,TFUEL,2200,2020-05-20,2026-05-28,,True
THE/USDT,THE,548,2024-11-27,2026-05-28,insufficient_bars,False
THETA/USDT,THETA,2200,2020-05-20,2026-05-28,,True
TIA/USDT,TIA,941,2023-10-31,2026-05-28,insufficient_bars,False
TKO/USDT,TKO,1878,2021-04-07,2026-05-28,,True
TLM/USDT,TLM,1872,2021-04-13,2026-05-28,,True
TNSR/USDT,TNSR,781,2024-04-08,2026-05-28,insufficient_bars,False
TON/USDT,TON,659,2024-08-08,2026-05-28,insufficient_bars,False
TOWNS/USDT,TOWNS,297,2025-08-05,2026-05-28,insufficient_bars,False
TRB/USDT,TRB,2099,2020-08-29,2026-05-28,,True
TREE/USDT,TREE,304,2025-07-29,2026-05-28,insufficient_bars,False
TRUMP/USDT,TRUMP,495,2025-01-19,2026-05-28,insufficient_bars,False
TRX/USDT,TRX,2200,2020-05-20,2026-05-28,,True
TST/USDT,TST,474,2025-02-09,2026-05-28,insufficient_bars,False
TURBO/USDT,TURBO,620,2024-09-16,2026-05-28,insufficient_bars,False
TURTLE/USDT,TURTLE,219,2025-10-22,2026-05-28,insufficient_bars,False
TUSD/USDT,TUSD,0,,,stablecoin,False
TUT/USDT,TUT,428,2025-03-27,2026-05-28,insufficient_bars,False
TWT/USDT,TWT,1948,2021-01-27,2026-05-28,,True
U/USDT,U,136,2026-01-13,2026-05-28,insufficient_bars,False
UMA/USDT,UMA,2088,2020-09-09,2026-05-28,,True
UNI/USDT,UNI,2080,2020-09-17,2026-05-28,,True
USD1/USDT,USD1,372,2025-05-22,2026-05-28,insufficient_bars,False
USDC/USDT,USDC,0,,,stablecoin,False
USDE/USDT,USDE,262,2025-09-09,2026-05-28,insufficient_bars,False
USDP/USDT,USDP,0,,,stablecoin,False
USDS/USDT,USDS,0,,,stablecoin,False
USTC/USDT,USTC,1176,2023-03-10,2026-05-28,insufficient_bars,False
USUAL/USDT,USUAL,556,2024-11-19,2026-05-28,insufficient_bars,False
VANA/USDT,VANA,529,2024-12-16,2026-05-28,insufficient_bars,False
VANRY/USDT,VANRY,910,2023-12-01,2026-05-28,insufficient_bars,False
VELODROME/USDT,VELODROME,532,2024-12-13,2026-05-28,insufficient_bars,False
VET/USDT,VET,2200,2020-05-20,2026-05-28,,True
VIC/USDT,VIC,917,2023-11-24,2026-05-28,insufficient_bars,False
VIRTUAL/USDT,VIRTUAL,413,2025-04-11,2026-05-28,insufficient_bars,False
VTHO/USDT,VTHO,2142,2020-07-17,2026-05-28,,True
W/USDT,W,786,2024-04-03,2026-05-28,insufficient_bars,False
WAL/USDT,WAL,231,2025-10-10,2026-05-28,insufficient_bars,False
WAXP/USDT,WAXP,1740,2021-08-23,2026-05-28,,True
WBETH/USDT,WBETH,1045,2023-07-19,2026-05-28,insufficient_bars,False
