symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,month
ARDR/USDT,2024-02-17 00:00:00+00:00,2024-03-05 00:00:00+00:00,0.0902048528533146,0.11109975436624314,0.08384367567983146,0.006361177173483141,chandelier_stop,18,3.284753897443683,0.0,6.051576005012751,2024-03
HBAR/USDT,2024-02-10 00:00:00+00:00,2024-03-05 00:00:00+00:00,0.07741555320855659,0.09954321629867754,0.06873997887700929,0.008675574331547297,chandelier_stop,25,2.550570399663035,-0.1401121311515278,5.842200741354698,2024-03
FET/USDT,2024-02-21 00:00:00+00:00,2024-03-05 00:00:00+00:00,0.9808197557755132,1.4797822434506283,0.8601778019796188,0.12064195379589433,chandelier_stop,14,4.1358952833213785,-0.006794947774967854,8.212567958744422,2024-03
CELR/USDT,2024-02-10 00:00:00+00:00,2024-03-05 00:00:00+00:00,0.018414003754889222,0.027553961711813353,0.01620603379400301,0.0022079699608862128,chandelier_stop,25,4.139530029319614,-0.18297520439411485,7.199371606817786,2024-03
ICX/USDT,2024-02-18 00:00:00+00:00,2024-03-05 00:00:00+00:00,0.24058556116030205,0.2931899359652092,0.2196700504427185,0.020915510717583546,chandelier_stop,17,2.5150891850172687,-0.5395785602698357,5.709372362555169,2024-03
ETH/USDT,2024-02-16 00:00:00+00:00,2024-03-05 00:00:00+00:00,2762.5918514227155,3235.2526489991915,2575.3266628044403,187.26518861827546,chandelier_stop,19,2.524018484503042,-0.2327279925558044,5.657475136699761,2024-03
ADA/USDT,2024-02-10 00:00:00+00:00,2024-03-05 00:00:00+00:00,0.5296634000255392,0.6659694493284085,0.4733706002298532,0.056292799795686035,chandelier_stop,25,2.4213762647725865,0.0,4.777460011769934,2024-03
IOST/USDT,2024-02-20 00:00:00+00:00,2024-03-05 00:00:00+00:00,0.008991089579874652,0.010837256195322553,0.008279806218871871,0.0007112833610027808,chandelier_stop,15,2.5955430938875614,-0.3108319299961638,5.636165050274069,2024-03
BTC/USDT,2024-02-12 00:00:00+00:00,2024-03-05 00:00:00+00:00,47829.45072682748,61314.216327295006,44865.056541447324,2964.3941853801625,chandelier_stop,23,4.548911095215294,0.0,7.1416107134407785,2024-03
QTUM/USDT,2024-02-13 00:00:00+00:00,2024-03-05 00:00:00+00:00,3.010286767374008,5.0800625807991135,2.764580906366074,0.24570586100793437,chandelier_stop,22,8.423795040681865,-0.02965646543438666,13.388826864491278,2024-03
JST/USDT,2024-02-23 00:00:00+00:00,2024-03-07 00:00:00+00:00,0.03439110096790606,0.04313573780900975,0.03223990871115455,0.002151192256751515,chandelier_stop,14,4.065018741890062,-0.8140141646615873,7.762625111579154,2024-03
MTL/USDT,2024-02-16 00:00:00+00:00,2024-03-07 00:00:00+00:00,1.5053721787731749,3.0487473572140122,1.3883496089585727,0.11702256981460205,chandelier_stop,21,13.188696683776428,-0.4731752076620828,20.2920498583216,2024-03
ZRX/USDT,2024-02-20 00:00:00+00:00,2024-03-12 00:00:00+00:00,0.3530007067854581,0.8337629534939971,0.316206361069123,0.03679434571633511,chandelier_stop,22,13.06619909523493,-0.7881837880482546,20.000336434514562,2024-03
IOST/USDT,2024-03-14 00:00:00+00:00,2024-03-15 00:00:00+00:00,0.013880777632264255,0.011806998690378306,0.011806998690378306,0.0020737789418859495,initial_stop,2,-1.0,-1.196259438341181,0.0,2024-03
ETH/USDT,2024-03-12 00:00:00+00:00,2024-03-15 00:00:00+00:00,3949.282908249627,3593.546174246641,3593.546174246641,355.73673400298594,initial_stop,4,-1.0,-1.0661898870596909,0.3758877815223062,2024-03
ETC/USDT,2024-02-13 00:00:00+00:00,2024-03-15 00:00:00+00:00,26.37038539868659,31.034625542897743,23.573468588179313,2.796916810507277,chandelier_stop,32,1.6676363511023409,-0.47923677731533365,4.755098382386732,2024-03
FET/USDT,2024-03-10 00:00:00+00:00,2024-03-16 00:00:00+00:00,2.883520821936302,2.325287397426716,2.325287397426716,0.558233424509586,initial_stop,7,-1.0000000000000002,-1.0793349080908632,0.20865676068398484,2024-03
NEAR/USDT,2024-02-13 00:00:00+00:00,2024-03-16 00:00:00+00:00,3.1819993526101795,6.614663766267736,2.7659941734916167,0.4160051791185627,chandelier_stop,33,8.2514944187251,-0.2331686177939012,14.00944252602399,2024-03
CELR/USDT,2024-03-12 00:00:00+00:00,2024-03-17 00:00:00+00:00,0.03423171224291727,0.028965410186255442,0.028965410186255442,0.005266302056661824,initial_stop,6,-1.0000000000000002,-1.050397828191359,1.0193657141811494,2024-03
ARDR/USDT,2024-03-12 00:00:00+00:00,2024-03-17 00:00:00+00:00,0.1268045161028784,0.11164064492590554,0.11164064492590554,0.015163871176972857,initial_stop,6,-1.0000000000000004,-1.2730598854066593,1.021868605732573,2024-03
DUSK/USDT,2024-03-12 00:00:00+00:00,2024-03-18 00:00:00+00:00,0.3718274318365394,0.3128468865288547,0.3128468865288547,0.058980545307684706,initial_stop,7,-1.0,-1.051659178682732,1.323700344854024,2024-03
HBAR/USDT,2024-03-08 00:00:00+00:00,2024-03-19 00:00:00+00:00,0.1254289083748216,0.10406017537339442,0.10406017537339442,0.021368733001427182,initial_stop,12,-0.9999999999999999,-1.2461622489757862,0.7240060336822549,2024-03
BTC/USDT,2024-03-12 00:00:00+00:00,2024-03-19 00:00:00+00:00,69280.23586135071,63602.122752156414,63602.122752156414,5678.113109194293,initial_stop,8,-1.0000000000000002,-1.3605287025440915,0.7919469112666844,2024-03
ZEC/USDT,2024-03-03 00:00:00+00:00,2024-03-19 00:00:00+00:00,29.93048961468466,25.854406532161924,25.854406532161924,4.076083082522735,initial_stop,17,-1.0000000000000002,-1.3666280843414556,1.403187881483384,2024-03
SOL/USDT,2024-03-18 00:00:00+00:00,2024-03-19 00:00:00+00:00,194.61733373471134,167.95600361240207,167.95600361240207,26.661330122309277,initial_stop,2,-0.9999999999999996,-1.073364817262637,0.15238047939285562,2024-03
ZRX/USDT,2024-03-14 00:00:00+00:00,2024-03-21 00:00:00+00:00,1.0642447523537022,0.8670027711833195,0.8670027711833195,0.19724198117038275,initial_stop,8,-0.9999999999999999,-1.0993843758159478,1.9177218024369316,2024-03
ETH/USDT,2024-04-09 00:00:00+00:00,2024-04-12 00:00:00+00:00,3631.649663008731,3253.9669670785756,3253.9669670785756,377.68269593015515,initial_stop,4,-1.0000000000000002,-1.4076622221184547,0.0,2024-04
ETC/USDT,2024-04-09 00:00:00+00:00,2024-04-12 00:00:00+00:00,34.35975535410084,29.557798186907572,29.557798186907572,4.801957167193268,initial_stop,4,-1.0000000000000002,-1.5784720875657432,0.05211305248801831,2024-04
QTUM/USDT,2024-04-09 00:00:00+00:00,2024-04-12 00:00:00+00:00,4.8777391213611985,4.179652092250784,4.179652092250784,0.6980870291104145,initial_stop,4,-1.0000000000000002,-1.1241279219314622,1.2308793070310646,2024-04
VET/USDT,2024-04-12 00:00:00+00:00,2024-04-13 00:00:00+00:00,0.047044686759053114,0.039562180831478,0.039562180831478,0.0074825059275751135,initial_stop,2,-1.0000000000000002,-1.6097129592193296,0.014074595057622962,2024-04
DEXE/USDT,2024-03-24 00:00:00+00:00,2024-04-13 00:00:00+00:00,12.627562304067713,11.696,10.048060736609411,2.5795015674583013,midline_exit,21,-0.3611404295387279,-0.8697658231231062,2.2118372665127355,2024-04
JST/USDT,2024-04-12 00:00:00+00:00,2024-04-13 00:00:00+00:00,0.04102587100442859,0.036592839039857286,0.036592839039857286,0.0044330319645713,initial_stop,2,-1.0000000000000004,-1.7946793679837507,0.0,2024-04
TRX/USDT,2024-05-11 00:00:00+00:00,2024-05-19 00:00:00+00:00,0.12630801822573623,0.12117,0.11981216403162606,0.0064958541941101695,midline_exit,9,-0.7909688352295379,-0.8894932141449843,0.19273551050437013,2024-05
MTL/USDT,2024-05-19 00:00:00+00:00,2024-05-31 00:00:00+00:00,1.9046764101242857,1.765,1.6220876911185715,0.2825887190057141,midline_exit,13,-0.49427454363973194,-0.5473552188088515,0.36917110577795126,2024-05
AVAX/USDT,2024-05-22 00:00:00+00:00,2024-06-02 00:00:00+00:00,39.68707480818323,34.91,34.38367327364908,5.303401534534155,midline_exit,12,-0.9007567647058898,-0.9271549167387607,0.14762698745674685,2024-06
FET/USDT,2024-05-23 00:00:00+00:00,2024-06-02 00:00:00+00:00,2.472331088048804,2.0605797924392344,2.0605797924392344,0.4117512956095693,initial_stop,11,-1.0000000000000004,-1.0451238226505848,0.0,2024-06
VTHO/USDT,2024-05-27 00:00:00+00:00,2024-06-07 00:00:00+00:00,0.003472993139793979,0.0030169382581458105,0.0030169382581458105,0.00045605488164816854,initial_stop,12,-1.0,-1.0656461740692578,0.1688543710522748,2024-06
ETH/USDT,2024-05-23 00:00:00+00:00,2024-06-07 00:00:00+00:00,3650.9296725750837,3678.32,3306.367053175753,344.5626193993307,midline_exit,16,0.07949303227571661,-0.14780962793894598,0.9463311139012942,2024-06
DEXE/USDT,2024-06-06 00:00:00+00:00,2024-06-11 00:00:00+00:00,13.276587456901936,12.231,11.937287112117419,1.3393003447845166,midline_exit,6,-0.780696772739324,-0.9225618896564477,1.6601298967452998,2024-06
BTC/USDT,2024-05-16 00:00:00+00:00,2024-06-14 00:00:00+00:00,64837.72376707351,66043.99,59539.5139036616,5298.209863411912,midline_exit,30,0.22767430208015363,0.0,1.351267016123081,2024-06
DUSK/USDT,2024-05-22 00:00:00+00:00,2024-06-14 00:00:00+00:00,0.3578339665020042,0.3549,0.297305698518038,0.0605282679839662,midline_exit,24,-0.04847266574324293,-0.57384702485135,2.5965724566846804,2024-06
TRX/USDT,2024-06-22 00:00:00+00:00,2024-07-22 00:00:00+00:00,0.11755705766514005,0.13340870099843002,0.11305351898626038,0.0045035386788796665,chandelier_stop,31,3.519819516068495,0.0,5.325355025223438,2024-07
NEAR/USDT,2024-07-18 00:00:00+00:00,2024-07-31 00:00:00+00:00,5.891605982497424,5.032453842476819,5.032453842476819,0.8591521400206047,initial_stop,14,-1.0000000000000002,-1.0750202897420167,0.6615755126780506,2024-07
BTC/USDT,2024-07-16 00:00:00+00:00,2024-08-02 00:00:00+00:00,63279.5227307963,61498.33,58621.62457716669,4657.89815362961,midline_exit,18,-0.38240267864344035,-0.44000806011596455,1.4599862523624578,2024-08
SOL/USDT,2024-07-16 00:00:00+00:00,2024-08-02 00:00:00+00:00,152.63338513653815,152.77,133.70046622884325,18.932918907694898,midline_exit,18,0.007215731717222638,-0.13909028762954592,2.1838478823599328,2024-08
