scenario,trade_id,symbol,side,entry_time,entry_price,exit_price,initial_stop,final_stop,initial_risk_per_unit,net_r,bars_held,max_favorable_r,chandelier_active,risk_amount,equity_before_entry,heat_before_entry_pct,heat_after_entry_pct,same_side_before_entry,open_positions_before_entry,exit_time,realized_r,pnl_usdt,equity_after_exit,peak_equity,drawdown_pct,open_positions_after_exit
SAME_SIDE_CAP4,126,ARPA/USDT,SHORT,2025-10-21 18:00:00+00:00,0.01897,0.0209857142857142,0.0209857142857142,0.0209857142857142,0.0020157142857142,-1.0,7,0.4464918497519493,False,25.34134099357922,10136.536397431688,0.7544080604534005,1.0044080604534005,3,3,2025-10-23 12:00:00+00:00,-1.0,-25.34134099357922,10111.19505643811,10316.297888132392,-1.988143749999969,3
SAME_SIDE_CAP4,94,APT/USDT,SHORT,2025-10-16 18:00:00+00:00,3.296,3.6264285714285713,3.6264285714285713,3.6264285714285713,0.3304285714285715,-1.0,41,1.010808473843492,False,25.532837273127676,10213.13490925107,0.5,0.75,2,2,2025-10-27 00:00:00+00:00,-1.0,-25.532837273127676,10085.662219164982,10316.297888132392,-2.2356437499999657,4
SAME_SIDE_CAP4,95,AAVE/USDT,SHORT,2025-10-17 00:00:00+00:00,220.95,242.71571428571428,242.71571428571428,242.71571428571428,21.765714285714296,-1.0,40,0.9547125229719082,False,25.532837273127676,10213.13490925107,0.75,1.0,3,3,2025-10-27 00:00:00+00:00,-1.0,-25.532837273127676,10060.129381891855,10316.297888132392,-2.483143749999963,3
SAME_SIDE_CAP4,139,1000CHEEMS/USDT,SHORT,2025-10-23 12:00:00+00:00,0.00136,0.0011398571428571,0.0014414285714285,0.0011398571428571,8.142857142857149e-05,2.7035087719298225,14,6.140350877192979,True,25.277987641095276,10111.19505643811,0.7562988074720806,1.0062988074720807,3,3,2025-10-27 00:00:00+00:00,2.7035087719298225,68.33926132443472,10128.468643216289,10316.297888132392,-1.8207039671874692,2
SAME_SIDE_CAP4,150,AVA/USDT,LONG,2025-10-28 12:00:00+00:00,0.492,0.4519428571428571,0.4519428571428571,0.4519428571428571,0.0400571428571428,-1.0,1,2.196861626248217,False,25.32117160804072,10128.468643216289,1.0004029978589428,1.250402997858943,1,4,2025-10-28 18:00:00+00:00,-1.0,-25.32117160804072,10103.147471608248,10316.297888132392,-2.066152207269498,4
SAME_SIDE_CAP4,140,AVNT/USDT,LONG,2025-10-24 06:00:00+00:00,0.7789,0.6115857142857143,0.6115857142857143,0.6115857142857143,0.1673142857142857,-1.0,25,1.3806352459016389,False,25.277987641095276,10111.19505643811,1.0062988074720807,1.2562988074720807,0,4,2025-10-30 12:00:00+00:00,-1.0,-25.277987641095276,10077.869483967153,10316.297888132392,-2.3111818478944954,4
SAME_SIDE_CAP4,151,ARPA/USDT,SHORT,2025-10-28 18:00:00+00:00,0.0186,0.0194571428571428,0.0194571428571428,0.0194571428571428,0.0008571428571428,-1.0,18,1.924999999999996,False,25.25786867902062,10103.147471608248,1.0029102735428,1.2529102735428,3,4,2025-11-02 06:00:00+00:00,-1.0,-25.25786867902062,10052.611615288133,10316.297888132392,-2.556016467376318,3
SAME_SIDE_CAP4,124,ALPINE/USDT,SHORT,2025-10-21 00:00:00+00:00,0.841,0.6850714285714286,0.8965714285714286,0.6850714285714286,0.0555714285714286,2.8059125964010265,54,4.390745501285345,True,25.405173086762037,10162.069234704815,0.7537688442211055,1.0037688442211055,3,3,2025-11-03 12:00:00+00:00,2.8059125964010265,71.28469517789395,10123.896310466027,10316.297888132392,-1.8650254166051115,4
SAME_SIDE_CAP4,180,ICP/USDT,LONG,2025-11-02 12:00:00+00:00,4.022,4.880428571428572,3.614857142857143,4.880428571428572,0.407142857142857,2.1084210526315807,10,6.344210526315791,True,25.131529038220332,10052.611615288133,0.7564951200063225,1.0064951200063226,0,3,2025-11-05 00:00:00+00:00,2.1084210526315807,52.98784490900565,10176.884155375034,10316.297888132392,-1.3513930507739311,4
SAME_SIDE_CAP4,148,2Z/USDT,SHORT,2025-10-28 00:00:00+00:00,0.2249,0.174515,0.2411728571428571,0.174515,0.0162728571428571,3.0962602054253345,35,4.6715828285488525,True,25.32117160804072,10128.468643216289,0.5004029978589429,0.7504029978589429,1,2,2025-11-05 18:00:00+00:00,3.0962602054253345,78.40093600472231,10255.285091379756,10316.297888132392,-0.591421432516256,3
