symbol,entry_time,exit_time,net_r,win,bars_held,exit_reason,year
ZEN_USDT,2022-12-26 00:00:00,2022-12-26 08:00:00,-1.0,0,2,atr_stop,2022
LTC_USDT,2022-12-26 00:00:00,2022-12-26 08:00:00,-1.0,0,2,atr_stop,2022
ZEN_USDT,2022-12-26 12:00:00,2022-12-29 00:00:00,2.3439,1,15,time_exit,2022
ATOM_USDT,2022-12-27 08:00:00,2022-12-29 20:00:00,0.0956,1,15,time_exit,2022
FIL_USDT,2022-12-27 08:00:00,2022-12-29 20:00:00,2.5714,1,15,time_exit,2022
ZEN_USDT,2023-01-01 16:00:00,2023-01-04 04:00:00,0.6807,1,15,time_exit,2023
SOL_USDT,2023-01-02 04:00:00,2023-01-03 04:00:00,-1.0,0,6,atr_stop,2023
APT_USDT,2023-01-02 04:00:00,2023-01-02 08:00:00,-1.0,0,1,atr_stop,2023
APT_USDT,2023-01-02 12:00:00,2023-01-03 16:00:00,-1.0,0,7,atr_stop,2023
UNI_USDT,2023-01-02 12:00:00,2023-01-04 00:00:00,-1.0,0,9,atr_stop,2023
GRT_USDT,2023-01-02 12:00:00,2023-01-03 08:00:00,-1.0,0,5,atr_stop,2023
DOT_USDT,2023-01-02 16:00:00,2023-01-04 00:00:00,-1.0,0,8,atr_stop,2023
ZEC_USDT,2023-01-02 20:00:00,2023-01-03 08:00:00,-1.0,0,3,atr_stop,2023
SOL_USDT,2023-01-03 08:00:00,2023-01-03 12:00:00,-1.0,0,1,atr_stop,2023
GRT_USDT,2023-01-03 12:00:00,2023-01-04 00:00:00,-1.0,0,3,atr_stop,2023
ZEC_USDT,2023-01-03 12:00:00,2023-01-04 04:00:00,-1.0,0,4,atr_stop,2023
APT_USDT,2023-01-03 20:00:00,2023-01-06 08:00:00,3.016,1,15,time_exit,2023
AVAX_USDT,2023-01-04 00:00:00,2023-01-04 16:00:00,-1.0,0,4,atr_stop,2023
ADA_USDT,2023-01-04 00:00:00,2023-01-06 00:00:00,-1.0,0,12,atr_stop,2023
BNB_USDT,2023-01-04 00:00:00,2023-01-06 12:00:00,-0.4267,0,15,time_exit,2023
NEAR_USDT,2023-01-04 00:00:00,2023-01-04 04:00:00,-1.0,0,1,atr_stop,2023
DOT_USDT,2023-01-04 04:00:00,2023-01-06 16:00:00,-0.3043,0,15,time_exit,2023
FIL_USDT,2023-01-04 16:00:00,2023-01-07 04:00:00,-0.253,0,15,time_exit,2023
AVAX_USDT,2023-01-04 20:00:00,2023-01-07 08:00:00,0.8033,1,15,time_exit,2023
CHZ_USDT,2023-01-05 00:00:00,2023-01-07 12:00:00,1.7614,1,15,time_exit,2023
BCH_USDT,2023-01-05 00:00:00,2023-01-07 12:00:00,0.8133,1,15,time_exit,2023
CHZ_USDT,2023-01-09 00:00:00,2023-01-09 16:00:00,-1.0,0,4,atr_stop,2023
LPT_USDT,2023-01-09 04:00:00,2023-01-09 12:00:00,-1.0,0,2,atr_stop,2023
LPT_USDT,2023-01-09 16:00:00,2023-01-10 12:00:00,-1.0,0,5,atr_stop,2023
CHZ_USDT,2023-01-10 00:00:00,2023-01-10 04:00:00,-1.0,0,1,atr_stop,2023
BTC_USDT,2023-03-12 20:00:00,2023-03-13 12:00:00,-1.0,0,4,atr_stop,2023
GRT_USDT,2023-03-13 00:00:00,2023-03-13 16:00:00,-1.0,0,4,atr_stop,2023
ADA_USDT,2023-03-13 04:00:00,2023-03-14 12:00:00,-1.0,0,8,atr_stop,2023
