timeframe,filter_mode,rsi_n,overbought,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
1d,ema200_price_below,14,90,10,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,15,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,15,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,15,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,20,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,20,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,20,4.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,25,2.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,25,3.0,0,0.0,0.0,0.0,0.0,0.0
1d,ema200_price_below,14,90,25,4.0,0,0.0,0.0,0.0,0.0,0.0
