symbol,entry_time,exit_time,net_r,mae_r,mfe_r,exit_reason,partial_done,month
IOST/USDT,2021-08-11 00:00:00+00:00,2021-09-07 00:00:00+00:00,5.3380366827020325,-0.5306957735507373,8.83020053459443,chandelier_stop,False,2021-09
ZEC/USDT,2021-08-11 00:00:00+00:00,2021-09-07 00:00:00+00:00,-0.9999999999999996,-1.070629790577884,2.150144475683385,initial_stop,False,2021-09
DUSK/USDT,2021-08-13 00:00:00+00:00,2021-09-07 00:00:00+00:00,-0.9999999999999998,-1.000401361030615,1.69479759986363,initial_stop,False,2021-09
ETC/USDT,2021-08-07 00:00:00+00:00,2021-09-07 00:00:00+00:00,-1.0000000000000002,-1.5594311116179698,2.018703251923146,initial_stop,False,2021-09
SC/USDT,2021-09-04 00:00:00+00:00,2021-09-07 00:00:00+00:00,-1.0,-1.920786756495976,1.0406650635940886,initial_stop,False,2021-09
QTUM/USDT,2021-09-05 00:00:00+00:00,2021-09-07 00:00:00+00:00,-1.0000000000000002,-2.5919287368877644,0.37657603376249016,initial_stop,False,2021-09
ZRX/USDT,2021-08-13 00:00:00+00:00,2021-09-07 00:00:00+00:00,-0.9999999999999998,-1.0155974813442896,1.651705796691626,initial_stop,False,2021-09
JST/USDT,2021-09-02 00:00:00+00:00,2021-09-07 00:00:00+00:00,-0.9999999999999999,-1.30639684539611,1.1873103302375523,initial_stop,False,2021-09
NEAR/USDT,2021-09-07 00:00:00+00:00,2021-09-08 00:00:00+00:00,-1.0000000000000004,-1.0810022334232572,1.954688970025618,initial_stop,False,2021-09
FET/USDT,2021-07-25 00:00:00+00:00,2021-09-09 00:00:00+00:00,7.196514528209004,-0.579278013671412,12.159705624413908,chandelier_stop,False,2021-09
IOST/USDT,2021-09-08 00:00:00+00:00,2021-09-13 00:00:00+00:00,-1.0,-1.3293415360747063,0.6248224006490228,initial_stop,False,2021-09
SOL/USDT,2021-07-31 00:00:00+00:00,2021-09-13 00:00:00+00:00,19.484953041254595,-0.73439178531123,29.80396963272578,chandelier_stop,False,2021-09
HBAR/USDT,2021-07-30 00:00:00+00:00,2021-09-18 00:00:00+00:00,5.6589028908556775,-0.380669516966114,10.439818179254292,chandelier_stop,False,2021-09
VET/USDT,2021-08-06 00:00:00+00:00,2021-09-19 00:00:00+00:00,0.8229777944782313,-0.10722143827973485,4.300928818942748,midline_exit,False,2021-09
BTC/USDT,2021-08-06 00:00:00+00:00,2021-09-20 00:00:00+00:00,0.038025301397403975,-0.08306214927905077,2.1449737470165364,midline_exit,False,2021-09
JST/USDT,2021-09-16 00:00:00+00:00,2021-09-20 00:00:00+00:00,-1.0000000000000002,-1.5204099456919047,0.17999673792874984,initial_stop,False,2021-09
ETH/USDT,2021-07-30 00:00:00+00:00,2021-09-20 00:00:00+00:00,1.6737335043877533,-0.13354930264703754,5.085036625247885,midline_exit,False,2021-09
CELR/USDT,2021-08-07 00:00:00+00:00,2021-09-20 00:00:00+00:00,6.905661280055829,-0.5303955663340449,13.533397983155862,chandelier_stop,False,2021-09
ARDR/USDT,2021-09-03 00:00:00+00:00,2021-09-20 00:00:00+00:00,-0.3802575116335814,-0.6392437087461825,7.97513051426105,midline_exit,False,2021-09
TRX/USDT,2021-08-05 00:00:00+00:00,2021-09-21 00:00:00+00:00,2.527807165672762,-0.06134777456679561,7.371492821242077,midline_exit,False,2021-09
ICX/USDT,2021-08-14 00:00:00+00:00,2021-09-21 00:00:00+00:00,1.0568854752549277,-0.7325808910671138,4.990043750747008,midline_exit,False,2021-09
AVAX/USDT,2021-09-16 00:00:00+00:00,2021-10-06 00:00:00+00:00,-0.46485973513069206,-0.9241780959353227,0.7536269083443266,midline_exit,False,2021-10
CELR/USDT,2021-09-23 00:00:00+00:00,2021-10-06 00:00:00+00:00,-0.23886771233977744,-0.5671679533426531,1.6995037715275054,midline_exit,False,2021-10
JST/USDT,2021-10-09 00:00:00+00:00,2021-10-12 00:00:00+00:00,-0.9999999999999998,-1.4017337265600247,0.0022645132900809845,initial_stop,False,2021-10
VTHO/USDT,2021-10-05 00:00:00+00:00,2021-10-12 00:00:00+00:00,-1.0,-1.1977700763481163,0.4774545084321219,initial_stop,False,2021-10
BTC/USDT,2021-10-05 00:00:00+00:00,2021-10-27 00:00:00+00:00,1.3451952716084357,-0.21115154096609656,3.0091991773316087,midline_exit,False,2021-10
AVAX/USDT,2021-10-25 00:00:00+00:00,2021-10-27 00:00:00+00:00,-0.9999999999999999,-1.134946461904572,0.2928894095237606,initial_stop,False,2021-10
QTUM/USDT,2021-10-02 00:00:00+00:00,2021-10-27 00:00:00+00:00,-0.9999999999999998,-1.2260524252827654,0.49715534530852085,initial_stop,False,2021-10
ETC/USDT,2021-11-09 00:00:00+00:00,2021-11-10 00:00:00+00:00,-1.0,-1.288670605204059,0.5212927419921511,initial_stop,False,2021-11
ICX/USDT,2021-10-31 00:00:00+00:00,2021-11-10 00:00:00+00:00,-0.9999999999999999,-1.1505115840225075,0.4645771241896111,initial_stop,False,2021-11
QTUM/USDT,2021-10-31 00:00:00+00:00,2021-11-16 00:00:00+00:00,-0.3195207356000216,-0.7736480789634568,1.5654249939893257,midline_exit,False,2021-11
SC/USDT,2021-10-31 00:00:00+00:00,2021-11-16 00:00:00+00:00,-0.6548593894127679,-0.9942891252864022,0.6205735575063417,midline_exit,False,2021-11
VET/USDT,2021-10-09 00:00:00+00:00,2021-11-16 00:00:00+00:00,1.2800305698336896,-0.9262050850334462,3.464057492416645,midline_exit,False,2021-11
ETH/USDT,2021-10-14 00:00:00+00:00,2021-11-16 00:00:00+00:00,0.9636989105288619,-0.3469352883132742,2.477866024832862,midline_exit,False,2021-11
ZRX/USDT,2021-10-30 00:00:00+00:00,2021-11-16 00:00:00+00:00,-0.22289829464309804,-0.6797102066296801,3.48602565459264,midline_exit,False,2021-11
NEAR/USDT,2021-10-21 00:00:00+00:00,2021-11-16 00:00:00+00:00,0.1262452723261582,-0.4206061083027286,2.3815314186552676,midline_exit,False,2021-11
BTC/USDT,2021-11-08 00:00:00+00:00,2021-11-16 00:00:00+00:00,-0.9999999999999996,-1.6161279088174096,0.266142890263072,initial_stop,False,2021-11
HBAR/USDT,2021-10-30 00:00:00+00:00,2021-11-18 00:00:00+00:00,-1.0,-1.0220725428174655,0.8359848522631126,initial_stop,False,2021-11
TRX/USDT,2021-11-02 00:00:00+00:00,2021-11-18 00:00:00+00:00,-0.6268855249901419,-0.7160621982633871,1.9292181297231805,midline_exit,False,2021-11
ZEC/USDT,2021-10-17 00:00:00+00:00,2021-11-18 00:00:00+00:00,0.6370332445752463,-0.15774156532339398,4.98706025753193,midline_exit,False,2021-11
SOL/USDT,2021-10-21 00:00:00+00:00,2021-11-18 00:00:00+00:00,0.15903197257056945,-0.4781537800569682,2.447188225365308,midline_exit,False,2021-11
CELR/USDT,2021-11-21 00:00:00+00:00,2021-11-26 00:00:00+00:00,-0.9999999999999998,-1.4864798097752419,0.7563629208647705,initial_stop,False,2021-11
